prerequisite_avg,prerequisite_min,previous_accuracy,recent_incorrect,learning_velocity,recent_confusion_count,time_gap_hours,revision_completion,concept_difficulty,will_struggle,dataset_type
0.6324,0.4262,0.4763,6,0.195,3,11.64,0.4694,60.86,0,SYNTHETIC
0.6805,0.6317,0.586,2,0.077,3,4.93,0.746,27.22,1,SYNTHETIC
0.5004,0.4344,0.6756,2,-0.104,0,4.2,0.6336,36.42,0,SYNTHETIC
0.4727,0.2641,0.7336,2,-0.0488,2,11.47,0.7244,51.21,1,SYNTHETIC
0.5095,0.4323,0.3778,2,-0.1063,3,36.74,0.609,52.24,0,SYNTHETIC
0.3422,0.1063,0.2249,1,0.0936,4,23.63,0.7423,52.12,1,SYNTHETIC
0.3118,0.0773,0.5077,4,0.318,4,10.64,0.753,71.48,1,SYNTHETIC
0.6567,0.5192,0.9063,0,0.1121,1,17.88,0.8821,45.64,1,SYNTHETIC
0.6138,0.5432,0.8059,2,-0.1002,2,20.7,0.2162,46.13,1,SYNTHETIC
0.6301,0.5488,0.6748,2,-0.0251,2,5.36,0.7262,26.38,0,SYNTHETIC
0.8602,0.7672,0.7806,0,-0.072,1,20.24,0.348,43.52,0,SYNTHETIC
0.4148,0.3785,0.4495,2,-0.2219,5,1.65,0.8778,51.03,0,SYNTHETIC
0.4392,0.3891,0.9125,0,0.1615,1,3.27,0.5119,11.49,0,SYNTHETIC
0.5829,0.3869,0.684,2,-0.1294,0,0.86,0.471,42.19,1,SYNTHETIC
0.4507,0.3503,0.7123,1,0.1906,0,8.59,0.8036,62.25,1,SYNTHETIC
0.196,0.0584,0.6486,1,0.0434,3,0.36,0.5837,47.68,1,SYNTHETIC
0.3704,0.3639,0.6113,2,0.0973,4,7.38,0.3065,24.98,1,SYNTHETIC
0.6249,0.5548,0.3985,4,0.0304,3,9.24,0.6243,49.45,0,SYNTHETIC
0.8212,0.5757,0.5225,1,0.1757,2,1.13,0.3416,65.44,0,SYNTHETIC
0.6389,0.5049,0.3013,6,0.1341,2,46.05,0.4884,82.22,1,SYNTHETIC
0.6139,0.3856,0.9307,1,0.1951,3,8.84,0.7945,53.93,0,SYNTHETIC
0.559,0.4574,0.5103,2,0.1317,3,11.18,0.4927,73.79,1,SYNTHETIC
0.3862,0.2829,0.5433,3,0.0625,1,52.61,0.6267,59.15,0,SYNTHETIC
0.529,0.3192,0.5458,8,0.1685,1,16.3,0.7489,46.5,0,SYNTHETIC
0.2816,0.182,0.4367,2,0.2068,2,2.39,0.6897,16.53,1,SYNTHETIC
0.4688,0.2284,0.7711,0,0.0343,0,1.53,0.7256,66.08,0,SYNTHETIC
0.515,0.5105,0.7578,1,-0.1879,3,5.08,0.0778,36.58,0,SYNTHETIC
0.629,0.4265,0.2251,7,0.2691,0,48.53,0.4044,58.83,1,SYNTHETIC
0.6344,0.4452,0.5918,1,0.052,1,43.52,0.3968,27.08,1,SYNTHETIC
0.6354,0.5455,0.5196,2,0.1407,1,90.22,0.5522,44.2,1,SYNTHETIC
0.4456,0.2769,0.3933,4,0.0375,2,15.62,0.5839,74.44,0,SYNTHETIC
0.7469,0.712,0.3139,2,-0.1228,3,5.89,0.5832,28.6,0,SYNTHETIC
0.7699,0.6252,0.6203,2,0.2624,1,8.44,0.75,86.07,0,SYNTHETIC
0.4459,0.3128,0.3764,3,-0.1328,1,14.63,0.6999,60.35,0,SYNTHETIC
0.845,0.6044,0.4596,2,0.1452,6,13.07,0.7,58.28,1,SYNTHETIC
0.5387,0.5246,0.8519,1,0.2031,1,29.24,0.5651,51.58,0,SYNTHETIC
0.5847,0.4818,0.843,0,0.0565,2,1.86,0.9017,50.7,1,SYNTHETIC
0.6104,0.575,0.6604,2,0.2717,3,7.28,0.7422,74.32,0,SYNTHETIC
0.2577,0.2162,0.7042,0,0.1117,1,34.81,0.7016,87.61,0,SYNTHETIC
0.6494,0.562,0.2825,3,0.0868,0,18.03,0.7314,76.26,1,SYNTHETIC
0.6833,0.5716,0.3635,1,-0.0904,4,5.94,0.7818,71.94,1,SYNTHETIC
0.4124,0.2189,0.5032,0,0.043,2,0.74,0.7798,53.2,0,SYNTHETIC
0.6155,0.3896,0.7179,0,0.194,2,0.67,0.4519,42.63,0,SYNTHETIC
0.1253,0.0645,0.482,3,-0.1757,1,8.51,0.4186,60.09,0,SYNTHETIC
0.7804,0.6059,0.3458,7,-0.0026,1,0.58,0.4219,59.02,1,SYNTHETIC
0.2812,0.2128,0.7326,2,0.0421,1,7.15,0.1339,62.49,0,SYNTHETIC
0.7128,0.4879,0.819,3,-0.0545,3,4.24,0.5492,39.64,0,SYNTHETIC
0.3735,0.2712,0.4379,1,0.0721,0,6.69,0.5558,55.17,1,SYNTHETIC
0.6786,0.6238,0.3376,3,0.3165,2,8.53,0.8458,40.04,1,SYNTHETIC
0.6789,0.5817,0.4095,7,0.1896,0,0.96,0.4508,40.35,0,SYNTHETIC
0.6875,0.6669,0.4722,6,0.1242,2,3.47,0.3224,50.38,0,SYNTHETIC
0.3763,0.1759,0.6749,2,0.1194,0,9.79,0.6878,32.03,1,SYNTHETIC
0.3979,0.2001,0.2967,1,0.1427,3,38.51,0.6168,75.75,1,SYNTHETIC
0.4114,0.2539,0.8258,1,0.2267,0,1.72,0.8666,48.01,0,SYNTHETIC
0.7886,0.6844,0.2817,8,0.1101,1,4.32,0.8183,30.77,1,SYNTHETIC
0.4826,0.2733,0.6819,2,0.1771,5,14.18,0.6151,42.13,1,SYNTHETIC
0.7734,0.6161,0.6823,4,0.1759,2,9.25,0.854,53.5,0,SYNTHETIC
0.124,0.0,0.6418,3,-0.1534,2,0.55,0.8162,70.03,0,SYNTHETIC
0.6964,0.6661,0.4198,1,-0.1164,3,1.73,0.8163,36.87,0,SYNTHETIC
0.6659,0.5617,0.2998,0,-0.0939,1,1.58,0.6305,39.07,0,SYNTHETIC
0.7454,0.5168,0.7604,4,-0.1217,5,13.85,0.8513,15.36,1,SYNTHETIC
0.5026,0.2697,0.5394,1,0.095,1,18.47,0.8949,25.86,1,SYNTHETIC
0.709,0.7081,0.4609,3,-0.1487,1,3.37,0.7403,43.51,1,SYNTHETIC
0.3943,0.2586,0.8339,0,0.0575,2,12.96,0.7155,18.31,1,SYNTHETIC
0.7792,0.6197,0.5016,3,0.1032,3,18.36,0.908,68.4,0,SYNTHETIC
0.2792,0.1358,0.5814,2,0.0194,1,21.73,0.4249,58.92,0,SYNTHETIC
0.6331,0.3987,0.8976,1,0.0723,2,3.7,0.8281,44.06,0,SYNTHETIC
0.9008,0.8249,0.6029,1,-0.1529,1,8.23,0.8036,71.18,0,SYNTHETIC
0.4826,0.4691,0.6994,4,0.1802,1,7.97,0.3441,56.1,0,SYNTHETIC
0.3135,0.3027,0.2428,1,0.1981,3,17.09,0.4808,62.09,1,SYNTHETIC
0.4196,0.418,0.5715,1,0.2753,2,31.18,0.6579,80.59,0,SYNTHETIC
0.3543,0.1978,0.8983,1,-0.0564,5,8.49,0.4344,59.83,0,SYNTHETIC
0.6753,0.6038,0.7408,2,0.4151,2,0.74,0.8353,39.03,0,SYNTHETIC
0.3724,0.22,0.3189,2,0.1292,2,38.53,0.3601,52.7,0,SYNTHETIC
0.8956,0.7375,0.2986,0,-0.0338,0,4.14,0.5969,79.88,0,SYNTHETIC
0.7345,0.6794,0.5207,7,0.2563,1,7.27,0.8018,77.12,1,SYNTHETIC
0.3411,0.1734,0.6742,2,-0.1088,0,43.7,0.6259,60.2,0,SYNTHETIC
0.5584,0.5045,0.6577,1,0.1496,1,17.4,0.5883,40.71,1,SYNTHETIC
0.7482,0.5458,0.0692,5,-0.0441,2,11.29,0.4889,31.82,0,SYNTHETIC
0.455,0.4185,0.7075,1,0.0665,1,34.56,0.2967,58.49,1,SYNTHETIC
0.4026,0.3893,0.5352,1,-0.0099,2,11.38,0.659,24.63,1,SYNTHETIC
0.2868,0.0438,0.5291,3,0.2698,1,6.86,0.3187,36.73,0,SYNTHETIC
0.3334,0.1755,0.8891,1,-0.0888,1,20.48,0.7625,42.29,1,SYNTHETIC
0.6604,0.4367,0.7105,2,0.0636,2,8.74,0.3762,53.82,1,SYNTHETIC
0.56,0.5307,0.7603,0,-0.048,1,5.33,0.5901,79.58,0,SYNTHETIC
0.7618,0.7028,0.7632,0,0.1661,4,7.89,0.7559,73.44,0,SYNTHETIC
0.519,0.4608,0.5619,2,0.166,1,29.75,0.8588,53.8,0,SYNTHETIC
0.6,0.3959,0.359,1,0.0088,3,25.27,0.9322,59.38,1,SYNTHETIC
0.777,0.6424,0.3196,6,0.2248,0,2.56,0.4854,39.34,1,SYNTHETIC
0.632,0.6041,0.5783,2,-0.1022,2,17.86,0.7409,50.58,0,SYNTHETIC
0.5366,0.4307,0.3021,3,0.0211,1,0.82,0.4904,93.7,1,SYNTHETIC
0.5777,0.5625,0.2428,5,0.2367,0,20.84,0.9344,79.31,0,SYNTHETIC
0.5756,0.3781,0.4295,0,-0.1483,1,9.32,0.8884,41.09,0,SYNTHETIC
0.4288,0.2923,0.2732,2,0.1677,1,12.93,0.6851,59.16,0,SYNTHETIC
0.6731,0.6577,0.3995,3,0.1677,3,0.15,0.3799,37.0,0,SYNTHETIC
0.1961,0.0,0.2389,4,-0.1002,0,2.45,0.4936,46.56,1,SYNTHETIC
0.4575,0.3428,0.6182,2,0.0688,1,2.74,0.5926,69.45,0,SYNTHETIC
0.8292,0.8105,0.7292,1,0.2841,1,0.56,0.823,67.99,1,SYNTHETIC
0.6418,0.6228,0.3664,0,-0.0201,2,17.31,0.6962,81.72,0,SYNTHETIC
0.4271,0.387,0.5166,0,0.1559,0,4.47,0.547,46.76,0,SYNTHETIC
0.5142,0.3616,0.4701,2,0.3202,1,18.21,0.898,37.65,0,SYNTHETIC
0.6059,0.5905,0.4162,1,0.3189,5,17.01,0.7701,45.89,0,SYNTHETIC
0.4098,0.3753,0.4848,4,-0.0029,2,13.16,0.7063,38.87,0,SYNTHETIC
0.441,0.4019,0.5669,1,-0.2115,4,6.08,0.5617,77.83,0,SYNTHETIC
0.4047,0.2518,0.7613,0,-0.1274,1,12.39,0.9445,47.96,0,SYNTHETIC
0.5551,0.4953,0.535,3,0.2111,1,8.83,0.4052,49.5,0,SYNTHETIC
0.8255,0.6617,0.3939,4,0.2912,0,6.34,0.5921,42.85,0,SYNTHETIC
0.635,0.5223,0.6794,2,0.1117,1,6.78,0.2276,49.85,1,SYNTHETIC
0.519,0.4594,0.7755,1,0.0354,1,2.45,0.8505,75.88,1,SYNTHETIC
0.7266,0.5932,0.7719,2,0.099,0,0.33,0.5922,24.46,1,SYNTHETIC
0.7943,0.7817,0.5709,1,-0.0775,0,5.52,0.725,59.75,1,SYNTHETIC
0.7192,0.5241,0.4351,2,-0.1883,1,13.25,0.7736,42.29,0,SYNTHETIC
0.6344,0.5261,0.3714,4,0.3732,1,1.5,0.6534,42.02,1,SYNTHETIC
0.3661,0.285,0.6414,2,0.1897,1,2.9,0.7047,25.67,0,SYNTHETIC
0.6317,0.3867,0.4879,3,-0.0355,0,14.93,0.4727,52.14,1,SYNTHETIC
0.6075,0.3793,0.6234,1,0.0351,2,25.96,0.5217,33.98,1,SYNTHETIC
0.7381,0.717,0.6423,6,0.1763,1,7.7,0.7669,50.69,1,SYNTHETIC
0.7455,0.5759,0.4807,3,-0.0845,1,10.08,0.7606,55.05,0,SYNTHETIC
0.41,0.342,0.7183,2,0.1986,1,0.94,0.8686,61.6,0,SYNTHETIC
0.4654,0.4497,0.6398,4,0.1724,2,22.31,0.2468,66.05,0,SYNTHETIC
0.7107,0.6244,0.681,1,0.0995,1,32.96,0.7531,90.95,1,SYNTHETIC
0.6941,0.4707,0.2686,9,-0.1168,1,1.59,0.5709,61.8,0,SYNTHETIC
0.2407,0.1831,0.6542,2,0.0013,1,1.84,0.9113,53.03,1,SYNTHETIC
0.6125,0.5502,0.27,8,0.1185,3,6.75,0.3001,62.54,0,SYNTHETIC
0.4046,0.2277,0.4761,1,0.0221,1,0.63,0.4146,97.76,0,SYNTHETIC
0.3569,0.1902,0.3665,3,0.1491,1,8.85,0.8382,39.9,0,SYNTHETIC
0.6244,0.5879,0.2695,3,-0.2414,1,7.56,0.7062,45.63,1,SYNTHETIC
0.5197,0.5178,0.4313,1,0.1134,2,8.23,0.6294,64.91,0,SYNTHETIC
0.6362,0.6231,0.7294,4,0.1328,5,6.77,0.7546,53.76,0,SYNTHETIC
0.5562,0.4123,0.2263,2,0.0771,3,6.81,0.7587,64.09,1,SYNTHETIC
0.7355,0.6811,0.5671,1,-0.0533,0,26.1,0.7798,35.9,0,SYNTHETIC
0.651,0.4146,0.4953,4,0.2184,0,25.53,0.8055,65.45,0,SYNTHETIC
0.7023,0.4622,0.2285,1,0.0456,1,6.77,0.6335,11.52,0,SYNTHETIC
0.5105,0.3633,0.6984,1,-0.0448,2,40.52,0.7813,53.08,0,SYNTHETIC
0.8141,0.7323,0.5875,2,0.1711,3,21.45,0.7951,67.12,0,SYNTHETIC
0.6722,0.6117,0.608,4,-0.0616,1,46.99,0.4245,54.26,0,SYNTHETIC
0.5403,0.5285,0.8226,0,-0.0409,0,0.66,0.9333,34.88,0,SYNTHETIC
0.5356,0.4098,0.7623,2,0.07,1,6.09,0.701,61.63,0,SYNTHETIC
0.3003,0.1139,0.4608,3,-0.0765,2,11.36,0.9417,29.08,0,SYNTHETIC
0.4946,0.2662,0.4284,2,-0.1349,2,19.6,0.6526,30.82,1,SYNTHETIC
0.7915,0.6285,0.8031,0,0.2178,3,18.19,0.6763,35.93,0,SYNTHETIC
0.5824,0.5078,0.6271,1,0.0055,1,8.19,0.4023,43.36,1,SYNTHETIC
0.6345,0.4282,0.8808,0,0.0533,1,3.06,0.407,43.52,0,SYNTHETIC
0.5968,0.4545,0.6175,3,-0.1858,2,20.91,0.4777,33.97,0,SYNTHETIC
0.447,0.3212,0.5743,0,0.0357,2,41.47,0.4198,42.58,1,SYNTHETIC
0.6165,0.4955,0.1947,4,0.0013,2,9.23,0.8624,51.2,0,SYNTHETIC
0.1846,0.1758,0.5817,4,0.3153,2,0.92,0.6276,47.61,0,SYNTHETIC
0.8367,0.5948,0.4737,5,-0.104,1,4.26,0.5934,46.93,0,SYNTHETIC
0.6296,0.4098,0.815,1,-0.2508,3,12.58,0.4134,39.86,0,SYNTHETIC
0.5374,0.3722,0.5176,4,0.0624,1,0.22,0.4178,42.11,0,SYNTHETIC
0.58,0.5169,0.3365,1,0.0893,1,21.28,0.7739,31.05,0,SYNTHETIC
0.5215,0.5195,0.618,1,-0.057,1,0.08,0.3786,36.03,0,SYNTHETIC
0.6932,0.6844,0.1688,4,0.0216,2,4.85,0.4235,51.61,1,SYNTHETIC
0.2626,0.0763,0.6514,5,-0.0083,0,0.76,0.7485,79.19,0,SYNTHETIC
0.5053,0.4987,0.5326,3,-0.0017,1,9.48,0.3735,76.5,0,SYNTHETIC
0.3229,0.2445,0.5192,5,0.1482,3,9.75,0.6043,29.47,1,SYNTHETIC
0.4959,0.2533,0.5746,4,0.0741,2,7.65,0.2788,47.4,0,SYNTHETIC
0.3968,0.1504,0.5138,0,0.1629,1,0.49,0.7838,40.43,1,SYNTHETIC
0.4682,0.393,0.5796,4,0.044,1,12.89,0.8964,64.39,0,SYNTHETIC
0.6332,0.572,0.4358,3,0.2834,5,3.9,0.7659,66.12,0,SYNTHETIC
0.6523,0.5718,0.1875,8,-0.1644,2,5.54,0.713,29.34,0,SYNTHETIC
0.6355,0.4069,0.4862,0,-0.1507,1,1.33,0.518,67.29,0,SYNTHETIC
0.5861,0.5216,0.3432,6,0.1361,1,5.19,0.4998,60.4,1,SYNTHETIC
0.3715,0.2831,0.4656,3,0.2427,2,13.98,0.2518,17.69,0,SYNTHETIC
0.8604,0.6449,0.7552,3,0.128,0,5.06,0.5857,63.12,0,SYNTHETIC
0.4989,0.4477,0.8502,1,0.1117,0,7.78,0.7939,35.68,0,SYNTHETIC
0.4771,0.2342,0.8172,2,0.2245,0,4.9,0.5838,36.68,1,SYNTHETIC
0.4012,0.2708,0.4093,4,0.0881,0,1.34,0.4297,71.39,0,SYNTHETIC
0.7795,0.6104,0.6834,3,-0.083,1,0.18,0.6981,71.06,0,SYNTHETIC
0.4718,0.3306,0.5887,0,0.0273,2,8.42,0.8101,33.81,0,SYNTHETIC
0.2454,0.1822,0.7072,4,0.2561,3,2.27,0.7845,44.45,0,SYNTHETIC
0.4594,0.3662,0.3022,2,-0.1653,3,25.31,0.7972,55.74,1,SYNTHETIC
0.3589,0.1226,0.5576,3,0.1004,3,15.42,0.5533,74.02,0,SYNTHETIC
0.3187,0.1271,0.6971,2,0.0003,0,20.08,0.5195,29.51,0,SYNTHETIC
0.4044,0.29,0.8185,2,-0.2196,2,9.21,0.8381,60.37,1,SYNTHETIC
0.5352,0.397,0.5613,2,-0.1822,2,6.03,0.5523,26.93,0,SYNTHETIC
0.617,0.5429,0.6913,2,0.3234,1,19.29,0.4764,61.28,1,SYNTHETIC
0.5822,0.369,0.5873,2,0.4385,2,58.28,0.6661,32.4,1,SYNTHETIC
0.4298,0.4012,0.5966,2,-0.0418,0,30.27,0.2098,39.34,0,SYNTHETIC
0.3001,0.0873,0.4956,6,0.1073,0,4.46,0.6489,36.95,0,SYNTHETIC
0.7714,0.7474,0.5032,1,0.1787,3,0.6,0.6268,59.89,1,SYNTHETIC
0.2478,0.0376,0.7443,0,-0.0265,1,3.5,0.8345,22.75,0,SYNTHETIC
0.251,0.2038,0.5968,0,-0.0756,3,6.68,0.6501,60.34,1,SYNTHETIC
0.4279,0.3114,0.3964,5,-0.0117,1,9.67,0.3261,29.78,0,SYNTHETIC
0.8638,0.6631,0.6729,0,-0.0121,4,5.0,0.6863,54.69,0,SYNTHETIC
0.5004,0.4822,0.5581,1,-0.0746,4,19.06,0.115,69.9,0,SYNTHETIC
0.3112,0.284,0.4007,5,0.0257,2,33.64,0.9404,68.89,1,SYNTHETIC
0.7502,0.5505,0.6058,1,0.0349,2,10.32,0.6913,11.37,0,SYNTHETIC
0.5481,0.4517,0.4892,0,-0.1198,3,3.55,0.5618,49.87,0,SYNTHETIC
0.5338,0.303,0.5057,1,0.172,1,8.12,0.4967,76.41,0,SYNTHETIC
0.2769,0.0906,0.8496,1,0.122,1,1.02,0.7541,49.96,1,SYNTHETIC
0.3904,0.3872,0.3927,5,0.195,0,7.61,0.4745,81.22,0,SYNTHETIC
0.5085,0.304,0.5886,1,-0.2236,2,12.27,0.4405,62.63,0,SYNTHETIC
0.4634,0.3905,0.4665,4,0.2384,1,2.69,0.8308,31.98,0,SYNTHETIC
0.6381,0.5994,0.6504,3,0.0653,1,2.65,0.5534,50.75,1,SYNTHETIC
0.7296,0.5644,0.3822,6,0.0488,5,0.37,0.5369,50.13,0,SYNTHETIC
0.2008,0.0,0.8635,0,-0.134,0,1.8,0.4166,33.84,0,SYNTHETIC
0.8309,0.603,0.6757,1,0.092,1,25.26,0.6151,20.34,0,SYNTHETIC
0.391,0.327,0.5027,4,-0.0281,2,2.81,0.5875,74.37,1,SYNTHETIC
0.6687,0.6041,0.5361,1,0.0808,1,5.86,0.3462,50.72,0,SYNTHETIC
0.6134,0.4615,0.4877,3,0.3376,3,11.39,0.3786,53.26,1,SYNTHETIC
0.7355,0.73,0.3764,2,-0.1505,1,1.77,0.3499,83.21,1,SYNTHETIC
0.4692,0.3508,0.4784,1,-0.0786,4,63.33,0.4834,73.38,1,SYNTHETIC
0.6654,0.5066,0.4511,2,0.0406,1,8.02,0.9141,40.59,1,SYNTHETIC
0.7568,0.5313,0.4282,2,0.0468,0,4.35,0.4967,76.64,0,SYNTHETIC
0.4929,0.4496,0.7183,1,-0.004,3,4.65,0.6891,34.01,0,SYNTHETIC
0.4323,0.2058,0.8205,2,0.0504,6,10.04,0.4157,23.65,0,SYNTHETIC
0.5642,0.3887,0.5786,0,-0.0858,1,7.94,0.4675,35.48,1,SYNTHETIC
0.8239,0.6115,0.1437,7,-0.1396,0,5.56,0.6243,89.22,0,SYNTHETIC
0.6324,0.5364,0.6934,4,0.1917,2,6.06,0.7491,57.83,0,SYNTHETIC
0.3655,0.2913,0.5677,3,0.0731,2,35.81,0.2488,14.06,0,SYNTHETIC
0.6454,0.6355,0.5867,2,-0.0349,0,1.88,0.716,31.84,0,SYNTHETIC
0.4515,0.2544,0.2458,5,0.1429,0,21.44,0.4693,45.59,0,SYNTHETIC
0.6828,0.5603,0.7004,0,-0.2304,5,5.51,0.7724,76.35,0,SYNTHETIC
0.7439,0.5307,0.3419,2,0.0826,0,1.15,0.6467,65.36,0,SYNTHETIC
0.3872,0.1935,0.4,3,0.0504,4,16.05,0.816,26.11,0,SYNTHETIC
0.7852,0.75,0.6881,0,-0.0789,0,1.48,0.5984,28.13,0,SYNTHETIC
0.7019,0.5177,0.7044,1,0.2237,1,0.66,0.9004,26.59,1,SYNTHETIC
0.2176,0.1055,0.4255,1,0.1517,0,4.57,0.7137,43.67,1,SYNTHETIC
0.6042,0.4814,0.2947,5,-0.2328,0,0.56,0.1767,15.58,0,SYNTHETIC
0.6136,0.3678,0.2586,2,-0.1206,2,14.56,0.4901,26.34,0,SYNTHETIC
0.453,0.3771,0.8778,1,0.033,2,1.73,0.814,27.26,0,SYNTHETIC
0.8956,0.6973,0.7398,1,-0.097,4,0.69,0.476,56.63,0,SYNTHETIC
0.3492,0.2515,0.4715,2,-0.0393,1,11.44,0.6635,40.93,0,SYNTHETIC
0.8379,0.63,0.5892,0,0.1434,3,4.09,0.349,63.06,0,SYNTHETIC
0.7038,0.6236,0.3252,3,0.0049,1,28.97,0.3973,50.41,0,SYNTHETIC
0.4742,0.4618,0.5922,4,0.01,4,49.16,0.2566,49.66,1,SYNTHETIC
0.6177,0.4039,0.7517,1,0.1989,2,5.25,0.4523,35.96,0,SYNTHETIC
0.3328,0.1778,0.6684,4,-0.2623,0,20.61,0.4224,54.72,1,SYNTHETIC
0.4972,0.4627,0.6028,4,0.0443,1,0.51,0.3383,42.0,0,SYNTHETIC
0.8594,0.6888,0.5947,2,0.3936,1,32.59,0.6013,72.3,0,SYNTHETIC
0.5854,0.554,0.7132,1,-0.0049,2,5.78,0.8822,29.68,0,SYNTHETIC
0.5904,0.5588,0.8938,0,0.0306,0,6.08,0.6047,84.07,0,SYNTHETIC
0.3136,0.2456,0.5307,4,-0.2184,2,6.4,0.2186,41.31,1,SYNTHETIC
0.4935,0.4222,0.5375,1,-0.1602,2,15.79,0.927,48.59,1,SYNTHETIC
