avg_practice_accuracy,avg_confusion_frequency,session_frequency,revision_completion,tutor_usage,avg_mastery_progression,total_practice_attempts,dataset_type
0.5581,0.151,1.87,0.7903,0.2946,0.5706,12,SYNTHETIC
0.5908,0.2548,4.09,0.7262,0.5757,0.6388,15,SYNTHETIC
0.7144,0.1094,5.05,0.7187,0.4707,0.6183,18,SYNTHETIC
0.5068,0.3238,3.19,0.5925,0.4322,0.6143,16,SYNTHETIC
0.5856,0.2453,5.8,0.6868,0.3806,0.6859,15,SYNTHETIC
0.5102,0.0958,3.43,0.6592,0.1023,0.6133,21,SYNTHETIC
0.5475,0.2048,7.27,0.6454,0.1751,0.5034,13,SYNTHETIC
0.5648,0.1449,3.71,0.5639,0.4381,0.5832,21,SYNTHETIC
0.4579,0.2909,6.38,0.7011,0.3646,0.5786,30,SYNTHETIC
0.4587,0.3089,2.6,0.9003,0.4736,0.6028,12,SYNTHETIC
0.4296,0.0428,3.14,0.8386,0.2846,0.3917,17,SYNTHETIC
0.5767,0.1973,2.99,0.5416,0.2995,0.5153,28,SYNTHETIC
0.6729,0.2502,3.19,0.6751,0.2424,0.6448,13,SYNTHETIC
0.6318,0.1352,4.39,0.8183,0.3519,0.6812,21,SYNTHETIC
0.6959,0.2548,3.99,0.6794,0.1426,0.5025,20,SYNTHETIC
0.8527,0.2345,3.0,0.7516,0.6128,0.522,24,SYNTHETIC
0.7073,0.1341,3.34,0.5288,0.4797,0.7046,16,SYNTHETIC
0.7209,0.202,3.95,0.6452,0.3534,0.562,22,SYNTHETIC
0.6984,0.2121,5.23,0.599,0.4103,0.534,23,SYNTHETIC
0.73,0.0748,4.76,0.8281,0.4264,0.3898,34,SYNTHETIC
0.5772,0.1853,5.99,0.6328,0.3532,0.723,22,SYNTHETIC
0.6984,0.1845,3.83,0.7593,0.1515,0.4698,15,SYNTHETIC
0.5513,0.2894,3.56,0.6755,0.2132,0.6567,17,SYNTHETIC
0.5831,0.1529,3.05,0.5623,0.3743,0.6594,28,SYNTHETIC
0.4576,0.166,6.67,0.7181,0.2377,0.6006,14,SYNTHETIC
0.7216,0.2461,3.69,0.7899,0.4831,0.6878,23,SYNTHETIC
0.6515,0.1445,6.43,0.719,0.3217,0.5463,35,SYNTHETIC
0.7407,0.0821,5.05,0.6596,0.3748,0.5212,23,SYNTHETIC
0.8379,0.0684,3.02,0.5921,0.2813,0.4548,13,SYNTHETIC
0.6002,0.2943,1.28,0.6684,0.5145,0.5249,29,SYNTHETIC
0.7539,0.2235,5.99,0.7751,0.5723,0.4506,22,SYNTHETIC
0.5801,0.0769,3.65,0.749,0.3067,0.6489,28,SYNTHETIC
0.6051,0.1717,4.13,0.7073,0.5683,0.3476,22,SYNTHETIC
0.5874,0.1221,6.6,0.7027,0.3327,0.7876,23,SYNTHETIC
0.613,0.2456,4.37,0.5407,0.2787,0.5391,16,SYNTHETIC
0.6845,0.1354,2.82,0.7421,0.422,0.4429,15,SYNTHETIC
0.6686,0.3436,3.97,0.7282,0.3852,0.5918,6,SYNTHETIC
0.7859,0.226,5.06,0.5309,0.2734,0.6196,15,SYNTHETIC
0.5833,0.3514,2.96,0.6854,0.357,0.4426,18,SYNTHETIC
0.822,0.1501,5.16,0.6853,0.4302,0.5516,22,SYNTHETIC
0.6199,0.3244,2.81,0.6536,0.0955,0.7204,23,SYNTHETIC
0.7072,0.1529,4.6,0.8219,0.3028,0.7713,16,SYNTHETIC
0.5593,0.2924,3.8,0.6805,0.4987,0.6725,13,SYNTHETIC
0.6573,0.23,4.44,0.8937,0.3118,0.5259,10,SYNTHETIC
0.7287,0.1164,3.38,0.5382,0.184,0.593,25,SYNTHETIC
0.4987,0.2192,3.87,0.5791,0.3031,0.5735,13,SYNTHETIC
0.4517,0.2745,5.47,0.6294,0.4907,0.6768,20,SYNTHETIC
0.5072,0.1721,3.14,0.6794,0.2469,0.7316,14,SYNTHETIC
0.6133,0.1211,2.48,0.7445,0.3435,0.7531,1,SYNTHETIC
0.8058,0.0908,3.74,0.5252,0.4829,0.5636,16,SYNTHETIC
0.5595,0.2275,5.23,0.624,0.574,0.6323,17,SYNTHETIC
0.5722,0.0,4.68,0.6294,0.5016,0.5298,25,SYNTHETIC
0.7828,0.1621,2.6,0.4786,0.67,0.5942,20,SYNTHETIC
0.6953,0.1133,2.43,0.8362,0.2894,0.6518,24,SYNTHETIC
0.6443,0.1896,7.15,0.8846,0.3188,0.5856,27,SYNTHETIC
0.8456,0.3125,3.31,0.6242,0.3906,0.7044,22,SYNTHETIC
0.7446,0.1824,5.04,0.7055,0.1774,0.562,11,SYNTHETIC
0.7976,0.1831,3.87,0.7559,0.3531,0.6386,29,SYNTHETIC
0.5544,0.1951,4.67,0.4956,0.6676,0.5654,13,SYNTHETIC
0.6403,0.2307,4.35,0.7805,0.3284,0.6846,25,SYNTHETIC
0.5969,0.2836,4.03,0.8605,0.1936,0.7127,26,SYNTHETIC
0.727,0.3009,4.71,0.9334,0.3314,0.5908,15,SYNTHETIC
0.6414,0.2121,3.41,0.852,0.2626,0.5112,28,SYNTHETIC
0.6206,0.2469,3.97,0.8648,0.4729,0.4942,6,SYNTHETIC
0.6145,0.1578,3.49,0.4185,0.7404,0.7401,24,SYNTHETIC
0.6804,0.2097,4.33,0.5509,0.0318,0.6285,24,SYNTHETIC
0.6516,0.2759,4.67,0.6534,0.1745,0.4716,14,SYNTHETIC
0.6382,0.2135,3.19,0.8468,0.6616,0.5869,20,SYNTHETIC
0.5338,0.3079,6.15,0.7125,0.1729,0.6221,20,SYNTHETIC
0.6837,0.2124,2.96,0.6375,0.3049,0.505,17,SYNTHETIC
0.7087,0.0947,3.93,0.7291,0.3293,0.5404,27,SYNTHETIC
0.6822,0.1282,4.12,0.7432,0.3713,0.6797,23,SYNTHETIC
0.685,0.1367,5.89,0.6486,0.3109,0.7131,20,SYNTHETIC
0.505,0.2565,2.9,0.5959,0.4094,0.607,23,SYNTHETIC
0.5795,0.1645,4.12,0.7824,0.3816,0.7226,16,SYNTHETIC
0.7153,0.2205,4.34,0.7892,0.5759,0.6638,15,SYNTHETIC
0.5627,0.0593,4.11,0.5643,0.2676,0.7477,16,SYNTHETIC
0.5045,0.2368,4.33,0.6751,0.2771,0.5537,16,SYNTHETIC
0.6393,0.167,3.52,0.7947,0.3833,0.5367,18,SYNTHETIC
0.6045,0.0244,3.67,0.8293,0.3415,0.4752,17,SYNTHETIC
0.606,0.2762,3.44,0.6292,0.5112,0.5156,13,SYNTHETIC
0.5976,0.2513,3.56,0.6945,0.3783,0.5547,18,SYNTHETIC
0.727,0.2338,2.39,0.7687,0.5495,0.536,23,SYNTHETIC
0.409,0.2039,3.03,0.6826,0.4929,0.5209,15,SYNTHETIC
0.6824,0.2453,5.29,0.9774,0.1217,0.7566,28,SYNTHETIC
0.6539,0.1426,5.19,0.8355,0.3602,0.9147,13,SYNTHETIC
0.5283,0.0488,3.36,0.7158,0.7117,0.5751,17,SYNTHETIC
0.5628,0.118,4.78,0.624,0.3913,0.6221,23,SYNTHETIC
0.6662,0.1679,5.15,0.7666,0.6599,0.451,5,SYNTHETIC
0.674,0.1332,2.58,0.5545,0.223,0.5998,26,SYNTHETIC
0.7659,0.1265,4.39,0.6884,0.2167,0.567,29,SYNTHETIC
0.6231,0.1771,6.5,0.8779,0.6135,0.6101,25,SYNTHETIC
0.7177,0.2592,5.16,0.7125,0.1556,0.7317,32,SYNTHETIC
0.6826,0.4003,4.96,0.6358,0.238,0.6722,18,SYNTHETIC
0.734,0.2692,4.54,0.7887,0.6011,0.5443,16,SYNTHETIC
0.569,0.267,1.4,0.6928,0.5013,0.5151,20,SYNTHETIC
0.1925,0.2606,3.29,0.64,0.4307,0.2533,19,SYNTHETIC
0.3533,0.3179,2.88,0.3704,0.486,0.3013,16,SYNTHETIC
0.5569,0.4062,3.67,0.4046,0.6553,0.5548,8,SYNTHETIC
0.3613,0.3835,3.74,0.4772,0.6848,0.3648,16,SYNTHETIC
0.204,0.4094,5.23,0.3183,0.5746,0.257,16,SYNTHETIC
0.264,0.3235,3.94,0.342,0.7665,0.2462,33,SYNTHETIC
0.4305,0.4063,1.68,0.0381,0.7739,0.2603,39,SYNTHETIC
0.5967,0.194,5.86,0.2359,0.8034,0.3774,25,SYNTHETIC
0.5382,0.2721,3.81,0.2466,0.7447,0.3338,30,SYNTHETIC
0.2287,0.2281,2.35,0.3043,0.3154,0.299,16,SYNTHETIC
0.4927,0.3535,6.52,0.4322,0.3956,0.4513,32,SYNTHETIC
0.2713,0.4597,3.58,0.3188,0.7066,0.2963,23,SYNTHETIC
0.6637,0.4496,1.5,0.5145,0.6596,0.5665,15,SYNTHETIC
0.4784,0.3197,3.12,0.5045,0.5542,0.3592,17,SYNTHETIC
0.3399,0.5093,2.26,0.4479,0.7766,0.4049,24,SYNTHETIC
0.5692,0.5623,1.14,0.3219,0.6167,0.1741,24,SYNTHETIC
0.4661,0.5082,2.05,0.4286,0.7511,0.2004,24,SYNTHETIC
0.6586,0.1217,3.5,0.3012,0.6745,0.1568,24,SYNTHETIC
0.4418,0.3661,3.74,0.5252,0.6763,0.347,35,SYNTHETIC
0.3786,0.4561,3.33,0.4878,0.5103,0.1494,20,SYNTHETIC
0.5223,0.3079,1.04,0.773,0.6278,0.078,32,SYNTHETIC
0.6233,0.3122,1.24,0.5605,0.7179,0.3888,8,SYNTHETIC
0.5823,0.5439,0.97,0.4077,0.6746,0.3308,20,SYNTHETIC
0.4753,0.4831,3.04,0.2909,0.5703,0.2966,26,SYNTHETIC
0.4561,0.547,5.03,0.1419,0.5833,0.2257,23,SYNTHETIC
0.516,0.3174,3.35,0.3264,0.8839,0.2206,27,SYNTHETIC
0.5727,0.411,0.73,0.3589,0.6973,0.1416,18,SYNTHETIC
0.4843,0.4022,0.64,0.2285,0.607,0.1695,39,SYNTHETIC
0.556,0.4441,2.69,0.2989,0.2426,0.3265,22,SYNTHETIC
0.3189,0.3756,2.19,0.3095,0.5635,0.3522,22,SYNTHETIC
0.2842,0.2075,4.7,0.4348,0.8487,0.2536,25,SYNTHETIC
0.4238,0.2548,0.6,0.6346,0.4686,0.1337,27,SYNTHETIC
0.4727,0.485,3.49,0.2527,0.3431,0.24,37,SYNTHETIC
0.1455,0.2468,1.68,0.3412,0.5111,0.549,23,SYNTHETIC
0.3359,0.3722,2.45,0.2906,0.3538,0.2935,21,SYNTHETIC
0.4655,0.5803,1.38,0.1516,0.4218,0.1947,21,SYNTHETIC
0.5182,0.3361,0.5,0.4328,0.5976,0.2795,30,SYNTHETIC
0.3514,0.2842,1.21,0.5654,0.5197,0.2994,24,SYNTHETIC
0.6651,0.3699,3.56,0.4075,0.6369,0.3396,30,SYNTHETIC
0.645,0.3098,1.39,0.4672,0.7938,0.5798,10,SYNTHETIC
0.3077,0.3075,2.04,0.4689,0.6933,0.3145,27,SYNTHETIC
0.3493,0.178,3.28,0.2831,0.8347,0.3684,27,SYNTHETIC
0.3671,0.4183,2.57,0.4215,0.2452,0.3247,36,SYNTHETIC
0.4536,0.3469,4.49,0.4855,0.5739,0.3841,21,SYNTHETIC
0.5333,0.4444,1.99,0.311,0.6359,0.3181,34,SYNTHETIC
0.2955,0.1011,3.95,0.0,0.6148,0.1903,16,SYNTHETIC
0.5229,0.3199,1.69,0.3222,0.6314,0.078,33,SYNTHETIC
0.6366,0.4177,3.73,0.5869,0.5823,0.2829,41,SYNTHETIC
0.5044,0.4236,2.62,0.5624,0.6661,0.4265,23,SYNTHETIC
0.4473,0.41,2.5,0.768,0.5921,0.356,32,SYNTHETIC
0.2673,0.2571,4.55,0.3064,0.3557,0.3438,34,SYNTHETIC
0.5371,0.2636,3.29,0.4553,0.7046,0.1421,28,SYNTHETIC
0.5206,0.2527,3.05,0.2531,0.8464,0.2039,32,SYNTHETIC
0.6648,0.5162,2.75,0.4211,0.5539,0.2172,32,SYNTHETIC
0.4961,0.3525,3.9,0.503,0.5384,0.4631,32,SYNTHETIC
0.5181,0.3985,3.63,0.4638,0.6046,0.3254,10,SYNTHETIC
0.3412,0.3079,3.43,0.3162,0.5563,0.1614,13,SYNTHETIC
0.5747,0.3929,5.56,0.4642,0.6416,0.2652,10,SYNTHETIC
0.5678,0.3525,3.35,0.4666,0.3111,0.3969,29,SYNTHETIC
0.4097,0.1723,5.01,0.1902,0.8028,0.0199,35,SYNTHETIC
0.4934,0.3776,4.97,0.2499,0.4961,0.3229,23,SYNTHETIC
0.4574,0.3198,3.94,0.1099,0.3181,0.2765,33,SYNTHETIC
0.3432,0.3487,2.67,0.6236,0.515,0.4348,16,SYNTHETIC
0.347,0.4355,2.24,0.5708,0.4929,0.3851,34,SYNTHETIC
0.4017,0.0956,0.5,0.6081,0.5944,0.4056,15,SYNTHETIC
0.5175,0.4543,1.91,0.3379,0.5401,0.2222,26,SYNTHETIC
0.3366,0.5108,2.37,0.5734,0.4265,0.2425,13,SYNTHETIC
0.4462,0.2767,1.35,0.2716,0.5814,0.2688,25,SYNTHETIC
0.1936,0.4815,3.89,0.2636,0.7436,0.6201,27,SYNTHETIC
0.5027,0.2798,3.81,0.2873,0.4454,0.3588,22,SYNTHETIC
0.1304,0.3271,0.5,0.3086,0.5395,0.3707,11,SYNTHETIC
0.3903,0.4412,0.82,0.3359,0.8299,0.1454,36,SYNTHETIC
0.2459,0.3797,3.72,0.0635,0.4211,0.2312,24,SYNTHETIC
0.538,0.259,1.67,0.6487,0.4411,0.3519,25,SYNTHETIC
0.35,0.342,3.76,0.5323,0.6873,0.2132,6,SYNTHETIC
0.2378,0.412,0.81,0.5315,0.5416,0.4505,26,SYNTHETIC
0.628,0.4032,2.92,0.2499,0.7629,0.3066,23,SYNTHETIC
0.5216,0.1274,4.98,0.515,0.5111,0.207,27,SYNTHETIC
0.5037,0.3209,2.91,0.4627,0.5997,0.3065,26,SYNTHETIC
0.6247,0.4706,0.64,0.0822,0.7473,0.5762,15,SYNTHETIC
0.4056,0.3051,3.35,0.5622,0.5019,0.3604,19,SYNTHETIC
0.5977,0.3384,3.07,0.516,0.5843,0.428,24,SYNTHETIC
0.5254,0.5284,3.33,0.5259,0.6943,0.0,31,SYNTHETIC
0.4277,0.395,0.5,0.3399,1.0,0.4117,29,SYNTHETIC
0.3281,0.3128,1.45,0.5895,0.6078,0.1371,46,SYNTHETIC
0.4651,0.2883,3.79,0.3431,0.4556,0.3192,30,SYNTHETIC
0.66,0.1684,3.48,0.3895,0.5648,0.0,21,SYNTHETIC
0.3933,0.5755,4.52,0.3745,0.6821,0.3749,12,SYNTHETIC
0.2081,0.3944,2.58,0.517,0.535,0.4191,15,SYNTHETIC
0.7008,0.3388,4.59,0.5105,0.6035,0.1958,5,SYNTHETIC
0.4091,0.2654,1.99,0.4725,0.4358,0.2776,27,SYNTHETIC
0.4536,0.2934,4.43,0.3165,0.6306,0.3201,28,SYNTHETIC
0.4525,0.3491,0.99,0.3567,0.9016,0.3028,19,SYNTHETIC
0.5082,0.3829,3.53,0.6244,0.4883,0.2814,23,SYNTHETIC
0.4301,0.3885,0.5,0.3005,0.7646,0.2469,18,SYNTHETIC
0.4035,0.3997,1.76,0.2337,0.5617,0.1321,37,SYNTHETIC
0.384,0.4506,3.9,0.2221,0.634,0.1019,33,SYNTHETIC
0.4892,0.3126,1.31,0.6379,0.3569,0.2277,27,SYNTHETIC
0.5115,0.2631,4.52,0.4631,0.6066,0.3688,28,SYNTHETIC
0.2511,0.3588,2.06,0.1988,0.551,0.2339,29,SYNTHETIC
0.3101,0.3282,1.83,0.1273,0.7223,0.2911,13,SYNTHETIC
0.2145,0.6316,1.5,0.2077,0.5139,0.18,9,SYNTHETIC
0.2648,0.7217,3.61,0.2085,0.9416,0.2826,5,SYNTHETIC
0.2618,0.5596,2.73,0.2832,0.5342,0.1573,6,SYNTHETIC
0.3519,0.685,1.52,0.3308,0.7761,0.1676,21,SYNTHETIC
0.341,0.8064,3.86,0.2075,0.5659,0.1793,4,SYNTHETIC
0.4299,0.5936,0.64,0.1525,0.6785,0.3441,18,SYNTHETIC
0.4866,0.3477,1.84,0.2574,0.7081,0.1258,14,SYNTHETIC
0.3279,0.8043,3.88,0.4225,0.8126,0.028,6,SYNTHETIC
0.2438,0.7105,2.25,0.4829,0.8444,0.347,17,SYNTHETIC
0.345,0.4454,3.29,0.2698,0.6451,0.1407,15,SYNTHETIC
0.2734,0.6951,3.6,0.3507,0.8839,0.1886,14,SYNTHETIC
0.3118,0.5241,3.67,0.2227,0.7381,0.212,16,SYNTHETIC
0.422,0.7471,1.48,0.2144,0.5188,0.1998,12,SYNTHETIC
0.327,0.4421,1.12,0.082,0.5304,0.2051,15,SYNTHETIC
0.6826,0.4561,2.85,0.4778,0.7195,0.301,8,SYNTHETIC
0.3827,0.5176,1.09,0.2044,0.8069,0.3282,12,SYNTHETIC
0.302,0.5089,1.22,0.5504,0.6816,0.0788,8,SYNTHETIC
0.402,0.5127,1.5,0.1498,0.6696,0.1607,20,SYNTHETIC
0.2705,0.6522,4.38,0.133,0.5678,0.2592,14,SYNTHETIC
0.2232,0.5592,0.5,0.3396,0.7889,0.141,8,SYNTHETIC
0.27,0.5408,2.87,0.2109,0.6194,0.2513,13,SYNTHETIC
0.3333,0.5934,2.45,0.3409,0.3631,0.2208,16,SYNTHETIC
0.2919,0.585,1.56,0.4101,0.4107,0.213,14,SYNTHETIC
0.2208,0.8647,0.93,0.1127,0.7389,0.1962,1,SYNTHETIC
0.4231,0.4732,4.0,0.0345,0.6774,0.3065,8,SYNTHETIC
0.2477,0.4748,1.45,0.3153,0.8127,0.1705,6,SYNTHETIC
0.2721,0.2761,2.33,0.1244,0.781,0.323,9,SYNTHETIC
0.2588,0.7584,4.17,0.3701,0.7099,0.3814,17,SYNTHETIC
0.2638,0.5085,1.45,0.3259,0.6845,0.3339,14,SYNTHETIC
0.2502,0.6993,3.36,0.5147,0.7754,0.0989,12,SYNTHETIC
0.492,0.5254,3.31,0.2091,0.8048,0.1169,13,SYNTHETIC
0.3389,0.608,2.85,0.4642,0.5382,0.1773,12,SYNTHETIC
0.4824,0.5592,4.44,0.3493,0.7452,0.1132,11,SYNTHETIC
0.1388,0.7057,2.96,0.4017,0.527,0.2448,16,SYNTHETIC
0.3018,0.5045,1.93,0.0887,0.6396,0.1764,6,SYNTHETIC
0.4243,0.632,2.48,0.4699,0.7856,0.2142,16,SYNTHETIC
0.2279,0.7412,1.59,0.3715,0.8814,0.2895,9,SYNTHETIC
0.2652,0.7132,1.51,0.3458,0.7612,0.195,11,SYNTHETIC
0.2985,0.509,2.16,0.493,0.6239,0.2765,9,SYNTHETIC
0.3876,0.6575,2.08,0.2694,0.8243,0.2232,4,SYNTHETIC
0.4391,0.5335,1.59,0.2448,0.5681,0.1443,6,SYNTHETIC
0.0977,0.4189,4.02,0.1054,0.5711,0.0783,5,SYNTHETIC
0.3042,0.6217,4.02,0.3382,0.6568,0.1443,14,SYNTHETIC
0.2864,0.5198,3.19,0.2369,0.6671,0.3646,17,SYNTHETIC
0.3854,0.783,3.1,0.1542,0.6338,0.1783,6,SYNTHETIC
0.3782,0.5859,3.21,0.4292,0.6678,0.2421,13,SYNTHETIC
0.2817,0.4803,3.76,0.2914,0.6982,0.1755,28,SYNTHETIC
0.2158,0.6312,1.6,0.3061,0.6038,0.3286,2,SYNTHETIC
0.3036,0.7182,3.93,0.2318,0.6942,0.163,2,SYNTHETIC
0.3176,0.5371,0.5,0.3172,0.4999,0.0593,11,SYNTHETIC
