current_mastery,prerequisite_avg,prerequisite_min,incorrect_attempts,recent_accuracy,confusion_frequency,recent_confusion_count,time_since_last_practice,total_attempts,streak,revision_completion_rate,previous_concept_accuracy,is_confused,dataset_type
0.5411,0.4282,0.322,1,0.7517,0.4463,0,14.44,19,1,0.5554,0.4917,1,SYNTHETIC
0.5474,0.2008,0.0866,4,0.4437,0.3985,1,25.28,8,1,0.2679,0.6915,0,SYNTHETIC
0.4913,0.4753,0.4298,0,0.7172,0.3545,2,14.94,12,2,0.7638,1.0,1,SYNTHETIC
0.7265,0.8589,0.8044,1,0.7224,0.0696,0,27.43,10,2,0.7827,0.9503,0,SYNTHETIC
0.8678,0.8662,0.8326,2,0.975,0.4968,0,0.57,14,2,0.2468,0.6399,0,SYNTHETIC
0.8345,0.855,0.7485,1,0.8377,0.1676,2,19.58,15,0,0.676,0.8522,0,SYNTHETIC
0.2241,0.488,0.3228,3,0.3997,0.2826,0,66.33,13,1,0.2558,0.483,0,SYNTHETIC
0.7918,0.7133,0.6868,3,0.7932,0.2318,1,3.8,12,0,0.6758,0.9377,0,SYNTHETIC
0.1243,0.8174,0.7972,5,0.5884,0.3864,1,3.36,17,0,0.1935,0.446,1,SYNTHETIC
0.5046,0.1912,0.1611,10,0.1539,0.8148,2,55.69,13,2,0.5875,0.1014,0,SYNTHETIC
0.5354,0.3019,0.2977,3,0.3623,0.5608,1,22.91,16,1,0.8602,0.6436,0,SYNTHETIC
0.5846,0.6743,0.502,9,0.4806,0.5667,3,4.32,9,1,0.7558,0.4254,0,SYNTHETIC
0.7763,0.7135,0.6425,2,0.5479,0.2802,1,32.86,12,0,0.7661,0.6623,1,SYNTHETIC
0.3137,0.3224,0.1871,5,0.4355,0.2063,0,36.88,13,0,0.8774,0.4739,0,SYNTHETIC
0.5745,0.4271,0.3673,1,0.9832,0.3241,1,44.27,10,2,0.7113,1.0,0,SYNTHETIC
0.5655,0.7234,0.6258,0,0.56,0.3112,0,56.86,9,1,0.6343,0.5707,0,SYNTHETIC
0.5985,0.5108,0.3662,0,0.8691,0.1873,1,2.05,13,4,0.9111,1.0,0,SYNTHETIC
0.3383,0.1758,0.0762,3,0.532,0.3142,2,17.78,11,3,0.2402,0.4433,0,SYNTHETIC
0.8894,0.719,0.5921,3,0.6286,0.2402,0,19.69,13,1,0.3779,0.9043,0,SYNTHETIC
0.9002,0.6609,0.5367,5,0.5158,0.215,1,27.83,7,2,0.904,0.3979,0,SYNTHETIC
0.3843,0.6191,0.5346,0,0.8662,0.0892,0,60.05,11,4,0.8036,0.9234,0,SYNTHETIC
0.1725,0.3953,0.3884,8,0.0657,0.8392,6,9.15,12,0,0.2047,0.3286,1,SYNTHETIC
0.6994,0.6577,0.6016,2,0.7018,0.7073,2,64.43,12,1,0.3448,0.5966,1,SYNTHETIC
0.8327,0.8228,0.7461,1,0.8639,0.3008,1,2.01,15,2,0.4107,0.9988,0,SYNTHETIC
0.1063,0.5747,0.4401,8,0.483,0.7196,3,11.26,9,0,0.1152,0.3391,0,SYNTHETIC
0.5351,0.4823,0.4055,1,0.4246,0.3507,0,33.88,13,1,0.4362,0.4843,1,SYNTHETIC
0.8752,0.9006,0.8311,3,0.3224,0.1173,2,20.22,14,1,0.5271,0.6154,1,SYNTHETIC
0.4943,0.2214,0.1229,8,0.6141,0.8682,2,45.05,18,2,0.3967,0.6453,0,SYNTHETIC
0.2971,0.2814,0.1122,3,0.4591,0.6557,2,10.3,20,2,0.4189,0.0997,1,SYNTHETIC
0.1659,0.6564,0.5392,3,0.538,0.7946,5,35.84,11,1,0.2136,0.4377,1,SYNTHETIC
0.3519,0.4058,0.2793,2,0.4026,0.7853,6,2.67,16,0,0.396,0.0,1,SYNTHETIC
0.6221,0.6538,0.5907,6,0.2352,0.2228,0,2.84,13,1,0.5963,0.2927,0,SYNTHETIC
0.1802,0.7321,0.679,0,0.7033,0.3455,0,35.6,13,1,0.9096,0.7446,0,SYNTHETIC
0.6719,0.3307,0.3013,3,0.8464,0.2098,0,10.16,18,3,0.8203,0.8183,0,SYNTHETIC
0.4652,0.2285,0.1098,8,0.2871,0.638,2,26.36,9,1,0.2291,0.3863,0,SYNTHETIC
0.8727,0.595,0.5448,1,0.7793,0.2003,0,60.09,8,1,0.6739,0.872,1,SYNTHETIC
0.9137,0.681,0.6147,3,0.4269,0.2033,0,39.97,17,3,0.9382,0.4737,0,SYNTHETIC
0.4555,0.0923,0.0,5,0.4074,0.6145,2,36.41,14,2,0.5477,0.6541,1,SYNTHETIC
0.7324,0.5936,0.4468,1,0.5769,0.0167,0,40.78,13,2,0.4375,0.6699,1,SYNTHETIC
0.258,0.406,0.3194,2,0.7016,0.6288,3,13.0,15,1,0.4698,0.6592,1,SYNTHETIC
0.5438,0.4601,0.4007,2,0.4882,0.2916,0,80.47,10,2,0.5596,0.6589,1,SYNTHETIC
0.2098,0.0893,0.0689,1,0.4168,0.5673,2,13.68,15,2,0.307,0.4338,0,SYNTHETIC
0.8427,0.8779,0.7303,1,0.8108,0.0656,0,18.55,11,5,0.8763,0.4371,1,SYNTHETIC
0.1344,0.611,0.4781,7,0.0,0.7035,3,58.82,20,0,0.4306,0.0,1,SYNTHETIC
0.2515,0.1371,0.1333,5,0.3469,0.4331,0,1.43,12,0,0.2766,0.4175,1,SYNTHETIC
0.5628,0.7228,0.5436,1,0.7144,0.5962,1,15.43,14,2,0.4021,0.7642,1,SYNTHETIC
0.7777,0.4769,0.3473,1,0.5353,0.8388,3,10.36,12,1,0.5833,0.71,0,SYNTHETIC
0.5536,0.4647,0.4307,8,0.4509,0.601,2,5.42,11,1,0.8825,0.5588,1,SYNTHETIC
0.5003,0.3068,0.1439,3,0.464,0.6831,1,7.21,10,0,0.6805,0.5136,1,SYNTHETIC
0.636,0.9028,0.772,0,0.9656,0.4643,0,43.55,14,6,0.8931,0.7491,1,SYNTHETIC
0.7161,0.5469,0.4271,5,0.3951,0.2908,0,36.24,14,4,0.4893,0.4663,1,SYNTHETIC
0.6768,0.7027,0.6096,2,0.6478,0.2717,0,88.86,19,1,0.6545,0.3104,1,SYNTHETIC
0.594,0.604,0.4913,2,0.578,0.2827,1,23.48,11,0,0.3393,0.485,1,SYNTHETIC
0.18,0.6639,0.5983,2,0.6452,0.5293,0,72.6,9,3,0.1407,0.4882,1,SYNTHETIC
0.3665,0.6075,0.5634,4,0.4233,0.7518,4,14.71,11,2,0.223,0.0392,0,SYNTHETIC
0.0643,0.5502,0.5432,4,0.1195,0.5451,0,30.95,8,0,0.1666,0.2017,0,SYNTHETIC
0.1204,0.2213,0.0347,9,0.2813,0.6759,3,1.97,12,0,0.403,0.1536,1,SYNTHETIC
0.1032,0.0789,0.0364,9,0.2558,0.6394,2,31.87,13,1,0.2621,0.2729,1,SYNTHETIC
0.9207,0.5738,0.55,2,0.9354,0.2043,0,25.8,13,2,0.9455,0.6547,0,SYNTHETIC
0.3877,0.1929,0.0965,7,0.3098,0.3292,1,15.49,12,2,0.6984,0.1848,0,SYNTHETIC
0.6895,0.8576,0.7786,1,0.6469,0.5671,2,16.75,14,4,0.6286,0.808,0,SYNTHETIC
0.7821,0.5455,0.4113,6,0.6164,0.1871,1,66.94,10,0,0.9751,0.6406,0,SYNTHETIC
0.5902,0.487,0.4848,2,0.5152,0.0817,1,7.73,15,3,0.7214,0.7588,0,SYNTHETIC
0.6815,0.8806,0.8498,1,0.5856,0.38,1,0.85,12,2,0.3532,0.7926,0,SYNTHETIC
0.3577,0.1656,0.0721,12,0.0,0.5153,1,48.16,8,1,0.1271,0.0,1,SYNTHETIC
0.1544,0.8007,0.7324,4,0.3491,0.5276,0,23.95,12,0,0.5253,0.3792,0,SYNTHETIC
0.2577,0.2145,0.0786,2,0.6482,0.4696,3,31.32,11,2,0.658,0.7794,0,SYNTHETIC
0.4779,0.8062,0.7432,1,0.69,0.034,0,49.64,16,1,0.8448,0.8637,0,SYNTHETIC
0.4428,0.213,0.1173,3,0.4038,0.6946,2,41.16,15,0,0.0896,0.4703,0,SYNTHETIC
0.7756,0.5531,0.4775,0,0.7503,0.2217,0,16.92,9,3,0.5973,0.7693,1,SYNTHETIC
0.4575,0.8167,0.7476,2,0.8839,0.2437,2,8.43,9,2,0.7094,1.0,1,SYNTHETIC
0.2877,0.1324,0.0557,6,0.2213,0.6462,4,76.05,13,0,0.7089,0.2399,1,SYNTHETIC
0.5968,0.6395,0.5248,4,0.7504,0.2358,0,1.08,10,1,0.5872,0.7573,0,SYNTHETIC
0.3815,0.7137,0.6506,1,0.8093,0.6341,0,4.73,16,3,0.3768,0.7063,0,SYNTHETIC
0.6272,0.8158,0.7353,4,0.5063,0.2566,1,13.01,12,1,0.1612,0.8037,1,SYNTHETIC
0.5216,0.2395,0.2382,6,0.0107,0.9547,5,0.55,17,1,0.1741,0.034,1,SYNTHETIC
0.1909,0.4746,0.3408,3,0.4131,0.8453,6,50.84,6,1,0.266,0.4239,0,SYNTHETIC
0.6128,0.6405,0.555,2,0.6488,0.1247,0,7.53,10,5,0.5145,0.6464,0,SYNTHETIC
0.6319,0.7387,0.5782,1,0.7924,0.7225,6,46.93,9,4,0.6532,0.6216,1,SYNTHETIC
0.5126,0.7141,0.6325,3,0.6188,0.5059,1,6.87,19,2,0.6674,0.3528,0,SYNTHETIC
0.1252,0.5715,0.5202,5,0.6391,0.368,0,5.48,12,0,0.6172,0.7639,0,SYNTHETIC
0.2959,0.0336,0.0,7,0.1832,0.8519,3,10.18,11,0,0.1211,0.0444,1,SYNTHETIC
0.7682,0.4491,0.435,4,0.5878,0.3294,1,17.21,18,1,0.4887,0.2731,1,SYNTHETIC
0.5208,0.1313,0.0,6,0.1062,0.6635,2,52.43,14,0,0.2829,0.0104,1,SYNTHETIC
0.3611,0.642,0.4653,4,0.2828,0.6265,1,2.02,9,0,0.5247,0.2361,1,SYNTHETIC
0.8994,0.5542,0.378,0,0.6418,0.2923,0,32.69,18,3,0.2913,0.7933,1,SYNTHETIC
0.7318,0.5174,0.3905,4,0.3741,0.1749,0,82.07,12,3,0.8261,0.3353,0,SYNTHETIC
0.9323,0.8652,0.7705,6,0.3082,0.4281,2,5.25,10,1,0.7191,0.7126,0,SYNTHETIC
0.5666,0.8111,0.6778,4,0.467,0.2286,1,2.13,12,1,0.5314,0.579,0,SYNTHETIC
0.3046,0.7027,0.5352,3,0.5247,0.0848,0,0.89,8,2,0.5184,0.4301,0,SYNTHETIC
0.5356,0.6457,0.4631,1,0.8273,0.5251,3,0.39,21,1,0.3794,1.0,0,SYNTHETIC
0.8572,0.5785,0.4551,0,0.7103,0.3778,0,100.25,10,2,0.1206,0.7129,0,SYNTHETIC
0.4442,0.5397,0.4832,5,0.6295,0.4155,1,70.81,10,3,0.8018,0.3754,1,SYNTHETIC
0.6893,0.6301,0.5459,0,0.9618,0.3665,3,15.47,15,2,0.5173,0.9036,1,SYNTHETIC
0.284,0.5424,0.4454,5,0.3896,0.5108,1,0.96,9,1,0.4623,0.4013,1,SYNTHETIC
0.7135,0.6325,0.4328,2,0.3503,0.1361,0,7.19,11,0,0.444,0.4353,1,SYNTHETIC
0.224,0.6568,0.5481,6,0.3911,0.4971,2,37.92,14,1,0.3073,0.5523,0,SYNTHETIC
0.6459,0.7653,0.5737,8,0.2719,0.5966,1,16.21,11,0,0.7993,0.0,1,SYNTHETIC
0.3399,0.2208,0.2062,4,0.2901,0.5145,0,12.71,15,1,0.3071,0.2546,0,SYNTHETIC
0.5876,0.7979,0.6593,1,1.0,0.111,1,33.44,14,4,0.867,0.9396,0,SYNTHETIC
0.7841,0.4373,0.3218,3,0.3822,0.3261,1,18.92,9,1,0.9691,0.7558,1,SYNTHETIC
0.6553,0.7951,0.5955,1,0.9083,0.0837,3,41.4,14,1,0.7496,0.9273,0,SYNTHETIC
0.4731,0.8042,0.6612,1,0.7374,0.0271,0,21.85,12,0,0.5902,0.8068,1,SYNTHETIC
0.9489,0.533,0.365,0,0.8366,0.1947,1,10.32,14,0,0.3273,1.0,0,SYNTHETIC
0.164,0.1115,0.0487,3,0.3227,0.6845,1,59.12,10,3,0.4842,0.3384,1,SYNTHETIC
0.8733,0.5668,0.4314,1,0.765,0.1368,0,2.34,9,2,0.8126,0.6429,0,SYNTHETIC
0.5642,0.6124,0.591,7,0.4946,0.7252,4,7.0,7,3,0.9325,0.52,0,SYNTHETIC
0.494,0.832,0.7564,0,0.6106,0.3665,0,102.75,16,0,0.779,0.5806,0,SYNTHETIC
0.9064,0.949,0.8668,2,0.7083,0.4558,1,16.93,12,1,0.752,1.0,0,SYNTHETIC
0.3028,0.453,0.4122,4,0.7254,0.3777,2,21.18,13,1,0.5686,0.6239,1,SYNTHETIC
0.6876,0.766,0.7089,1,0.5578,0.2863,2,22.88,18,1,0.4804,0.5786,0,SYNTHETIC
0.3254,0.2231,0.1493,12,0.2561,0.6059,3,3.9,13,1,0.2189,0.1585,0,SYNTHETIC
0.8145,0.822,0.7183,1,0.7486,0.2004,2,14.57,16,2,0.4108,0.6163,0,SYNTHETIC
0.0458,0.0902,0.0,13,0.0,0.673,2,2.71,11,0,0.3886,0.0953,1,SYNTHETIC
0.6474,0.7958,0.7562,3,0.7749,0.6254,0,5.24,19,3,0.2523,0.5998,0,SYNTHETIC
0.1664,0.3442,0.169,8,0.2534,0.4447,1,8.6,10,0,0.3588,0.3157,1,SYNTHETIC
0.176,0.5517,0.5226,5,0.6809,0.6542,1,29.16,12,1,0.3281,0.4348,1,SYNTHETIC
0.6989,0.4653,0.2681,5,0.7955,0.3285,2,53.86,18,4,0.6456,0.7251,0,SYNTHETIC
0.6099,0.625,0.4973,2,0.7475,0.4776,1,10.88,17,4,0.7829,0.6859,0,SYNTHETIC
0.3567,0.1888,0.1153,5,0.533,0.4039,2,0.71,14,1,0.3995,0.1436,0,SYNTHETIC
0.8649,0.5725,0.4689,0,0.8532,0.1255,0,60.85,15,2,0.9408,0.9731,0,SYNTHETIC
0.5466,0.7145,0.5164,5,0.4276,0.3824,1,49.59,11,2,0.7883,0.1944,1,SYNTHETIC
0.6598,0.9046,0.7922,1,0.77,0.0583,0,18.1,11,1,0.4,0.679,1,SYNTHETIC
0.6125,0.788,0.6012,7,0.6533,0.2407,0,18.03,9,2,0.8577,0.9715,0,SYNTHETIC
0.2025,0.2211,0.052,7,0.3129,0.8008,2,1.66,17,3,0.6133,0.1158,0,SYNTHETIC
0.8964,0.7633,0.5722,1,0.6704,0.2705,0,20.65,9,3,0.594,0.7183,1,SYNTHETIC
0.1389,0.3137,0.2902,8,0.2524,0.7575,1,66.19,11,1,0.1366,0.1043,1,SYNTHETIC
0.6821,0.3979,0.308,5,0.6798,0.656,4,48.06,11,1,0.7234,0.352,0,SYNTHETIC
0.9329,0.8608,0.688,2,0.6756,0.2088,0,10.4,13,2,0.4338,0.8063,0,SYNTHETIC
0.7548,0.4372,0.3497,1,0.8027,0.4064,1,42.19,12,0,0.5614,0.468,1,SYNTHETIC
0.4563,0.565,0.3651,1,0.7051,0.2044,0,4.3,11,4,0.361,0.674,1,SYNTHETIC
0.4438,0.339,0.3169,7,0.1797,0.663,3,15.8,22,1,0.4195,0.542,1,SYNTHETIC
0.6921,0.7411,0.7256,1,0.753,0.3033,2,2.08,14,2,0.7059,1.0,0,SYNTHETIC
0.6657,0.5026,0.3739,0,0.9469,0.2408,0,12.91,24,1,0.5369,0.8718,0,SYNTHETIC
0.7668,0.7107,0.6487,3,1.0,0.0371,0,6.23,17,3,0.5621,0.5517,0,SYNTHETIC
0.8938,0.7604,0.7526,0,0.9435,0.1132,0,65.54,11,2,0.6081,0.9858,0,SYNTHETIC
0.5478,0.4348,0.3865,7,0.1847,0.2995,1,99.73,12,1,0.5703,0.2689,1,SYNTHETIC
0.1709,0.2404,0.0798,8,0.0242,0.6937,0,16.52,9,1,0.471,0.6213,1,SYNTHETIC
0.874,0.959,0.9117,1,0.8387,0.2125,0,76.67,14,0,0.4171,0.6161,0,SYNTHETIC
0.7153,0.6811,0.5469,0,0.8225,0.2291,0,32.2,17,1,0.3484,0.6878,0,SYNTHETIC
0.7045,0.8901,0.7935,7,0.2756,0.4651,1,12.65,14,1,0.1688,0.3321,0,SYNTHETIC
0.8652,0.8507,0.7375,5,0.7466,0.5641,4,70.69,12,1,0.1792,0.7997,0,SYNTHETIC
0.8168,0.4769,0.4388,1,0.9142,0.2234,1,5.1,12,3,0.6786,0.7739,0,SYNTHETIC
0.4846,0.749,0.6211,1,0.5556,0.4568,1,0.99,11,0,0.528,0.695,0,SYNTHETIC
0.9328,0.9308,0.9209,0,0.9372,0.5352,3,28.41,13,2,0.632,1.0,0,SYNTHETIC
0.6971,0.8003,0.7761,0,0.974,0.347,1,21.33,8,4,0.8556,0.9721,0,SYNTHETIC
0.4336,0.3442,0.2934,4,0.6387,0.8267,1,5.24,15,1,0.2088,0.2664,1,SYNTHETIC
0.489,0.2626,0.1751,8,0.2284,0.7188,3,11.61,14,1,0.2173,0.1735,1,SYNTHETIC
0.7698,0.2855,0.1769,2,0.5976,0.626,3,22.4,8,2,0.6978,0.7331,1,SYNTHETIC
0.3954,0.3855,0.3522,0,0.6818,0.1568,1,42.48,12,3,0.8373,0.7955,0,SYNTHETIC
0.9808,0.7797,0.6753,3,0.5248,0.4651,0,20.83,18,1,0.6515,0.3363,0,SYNTHETIC
0.7382,0.8388,0.7182,3,0.6207,0.3689,0,0.58,12,1,0.3214,0.8081,0,SYNTHETIC
0.5636,0.8203,0.6663,7,0.6103,0.4836,1,35.07,15,0,0.5992,0.1519,1,SYNTHETIC
0.3268,0.7086,0.5978,1,0.8046,0.3365,2,2.43,13,1,0.6687,0.7544,0,SYNTHETIC
0.3735,0.472,0.4327,1,0.6563,0.085,0,29.99,15,1,0.7515,0.5704,0,SYNTHETIC
0.1094,0.6515,0.4642,3,0.2405,0.7113,2,2.94,17,0,0.4034,0.1755,1,SYNTHETIC
0.7258,0.6668,0.5902,3,0.4205,0.1739,0,41.25,14,1,0.6317,0.245,0,SYNTHETIC
0.0879,0.0576,0.0,2,0.5972,0.5439,1,16.81,16,3,0.4418,0.709,1,SYNTHETIC
0.7895,0.7049,0.6692,6,0.261,0.0517,0,35.19,14,0,0.8088,0.0331,0,SYNTHETIC
0.8754,0.7305,0.7227,1,0.9142,0.1826,0,15.17,14,1,0.7553,0.6834,1,SYNTHETIC
0.8869,0.8278,0.8044,4,0.3099,0.2551,2,61.4,14,1,0.6,0.2146,1,SYNTHETIC
0.8985,0.8335,0.7844,2,0.7585,0.2195,0,46.36,12,1,0.6251,0.5814,0,SYNTHETIC
0.2658,0.4492,0.3273,4,0.4582,0.7339,1,27.58,15,3,0.2723,0.3691,1,SYNTHETIC
0.7369,0.729,0.6946,3,0.5075,0.0747,0,3.26,10,4,0.7218,0.7166,0,SYNTHETIC
0.4159,0.8072,0.7267,2,0.7722,0.1312,0,10.83,12,4,0.085,0.7003,0,SYNTHETIC
0.2494,0.5039,0.4225,5,0.2204,0.9429,2,19.58,12,1,0.1836,0.3632,1,SYNTHETIC
0.9765,0.4614,0.3194,1,0.4498,0.3042,1,21.45,18,2,0.2923,0.5856,1,SYNTHETIC
0.7429,0.8909,0.6957,5,0.3469,0.2888,2,5.04,14,0,0.6267,0.4679,0,SYNTHETIC
0.2256,0.7241,0.7111,8,0.4951,0.8673,5,41.37,13,4,0.6875,0.4535,1,SYNTHETIC
0.7853,0.6397,0.5236,2,0.4352,0.86,3,26.1,17,2,0.4467,0.6616,1,SYNTHETIC
0.6865,0.9198,0.7647,2,0.7418,0.2903,1,6.21,11,2,0.874,0.6965,0,SYNTHETIC
0.4879,0.3314,0.2028,5,0.6732,0.4898,2,13.78,13,0,0.6923,0.7396,0,SYNTHETIC
0.6406,0.6089,0.524,3,0.5534,0.5254,1,21.76,18,0,0.6301,0.5203,1,SYNTHETIC
0.7039,0.2416,0.1068,7,0.3445,0.3426,1,25.07,12,1,0.7055,0.3962,1,SYNTHETIC
0.8776,0.6882,0.6439,6,0.5325,0.3892,0,12.38,13,2,0.8668,0.2765,0,SYNTHETIC
0.1187,0.5074,0.4507,4,0.2798,0.8168,3,22.38,14,0,0.2467,0.0788,0,SYNTHETIC
0.405,0.1257,0.0,7,0.013,0.3915,1,29.7,13,0,0.1944,0.0,1,SYNTHETIC
0.2265,0.1477,0.003,12,0.3753,0.5863,3,5.8,12,0,0.124,0.1988,1,SYNTHETIC
0.4761,0.4684,0.37,0,0.7128,0.8364,3,39.12,16,1,0.2619,0.7224,1,SYNTHETIC
0.7531,0.8945,0.7418,0,0.8514,0.5908,4,35.05,5,2,0.9154,1.0,0,SYNTHETIC
0.1628,0.1367,0.0,5,0.1784,0.5197,2,28.09,13,0,0.4226,0.2001,1,SYNTHETIC
0.1855,0.0605,0.0,5,0.3916,0.7851,0,3.62,11,0,0.2353,0.3843,1,SYNTHETIC
0.6915,0.6296,0.464,3,0.4587,0.5053,0,93.95,12,0,0.503,0.419,1,SYNTHETIC
0.5751,0.4562,0.2856,3,0.3914,0.3009,1,21.51,15,0,0.8091,0.5923,0,SYNTHETIC
0.3531,0.7022,0.6691,1,0.9167,0.5195,4,23.86,11,3,0.5464,0.7495,1,SYNTHETIC
0.9386,0.4464,0.3832,4,0.3109,0.4809,3,19.01,17,0,0.5815,0.0,0,SYNTHETIC
0.2041,0.2533,0.2257,5,0.1491,0.5804,3,8.18,12,1,0.1687,0.1415,0,SYNTHETIC
0.9774,0.8531,0.7329,2,0.7757,0.3266,2,35.97,13,3,0.7886,0.5426,0,SYNTHETIC
0.3324,0.3943,0.3371,2,0.6501,0.5582,0,7.68,10,2,0.602,0.7808,1,SYNTHETIC
0.3643,0.3691,0.2107,5,0.0718,0.5193,1,58.0,17,0,0.2252,0.1289,0,SYNTHETIC
0.8013,0.6899,0.5069,3,0.5914,0.2979,0,24.09,10,2,0.7792,0.7836,0,SYNTHETIC
0.9005,0.5923,0.5746,4,0.7368,0.3443,0,17.22,13,6,0.9033,0.6586,0,SYNTHETIC
0.9317,0.5053,0.4689,9,0.4097,0.0739,0,24.04,13,2,0.6245,0.2733,1,SYNTHETIC
0.1239,0.3629,0.2068,1,0.683,0.4697,1,6.8,15,2,0.6803,0.5821,0,SYNTHETIC
0.9122,0.7719,0.7321,4,0.4222,0.2787,1,18.0,13,3,0.402,0.4613,0,SYNTHETIC
0.8476,0.5581,0.3862,0,0.9039,0.5079,3,27.63,13,5,0.649,0.8139,0,SYNTHETIC
0.2491,0.4232,0.3199,7,0.2541,0.6587,1,28.75,14,0,0.421,0.3386,1,SYNTHETIC
0.6942,0.6266,0.5328,0,0.9371,0.0728,1,70.17,15,2,0.4039,1.0,0,SYNTHETIC
0.175,0.4404,0.4136,3,0.7597,0.4279,1,32.24,12,2,0.5734,0.6339,1,SYNTHETIC
0.3728,0.5372,0.4599,4,0.3554,0.6096,0,26.23,11,1,0.179,0.2442,1,SYNTHETIC
0.623,0.0971,0.0446,3,0.2743,0.7223,3,4.18,12,1,0.1539,0.0,1,SYNTHETIC
0.2768,0.86,0.7038,0,0.9612,0.4228,1,0.06,12,3,0.7331,0.3317,0,SYNTHETIC
0.3294,0.1762,0.0553,4,0.1106,0.4049,2,0.88,19,0,0.5592,0.3293,1,SYNTHETIC
0.9325,0.6604,0.5819,5,0.3845,0.1214,0,0.49,10,0,0.8156,0.7975,1,SYNTHETIC
0.4148,0.2847,0.1574,6,0.5434,0.2378,0,54.19,8,1,0.457,0.5185,1,SYNTHETIC
0.8766,0.7307,0.5695,1,0.8212,0.1254,0,5.28,18,2,0.8797,0.9149,0,SYNTHETIC
0.3825,0.5381,0.4022,1,0.6932,0.5229,0,11.2,9,3,0.742,0.7703,0,SYNTHETIC
0.4527,0.179,0.0041,2,0.519,0.6615,0,25.99,11,1,0.6119,0.5208,1,SYNTHETIC
