concept_baseline,signal_count,hour,is_anomaly,dataset_type
12.63,40.0,12,1,SYNTHETIC
12.63,14.0,13,0,SYNTHETIC
12.63,13.0,14,0,SYNTHETIC
12.63,8.0,15,0,SYNTHETIC
12.63,13.0,16,0,SYNTHETIC
12.63,17.0,17,0,SYNTHETIC
12.63,10.0,18,0,SYNTHETIC
12.63,16.0,19,0,SYNTHETIC
12.63,11.0,20,0,SYNTHETIC
12.63,15.0,21,0,SYNTHETIC
12.63,13.0,22,0,SYNTHETIC
12.63,9.0,23,0,SYNTHETIC
34.35,138.0,0,1,SYNTHETIC
34.35,34.0,1,0,SYNTHETIC
34.35,45.0,2,0,SYNTHETIC
34.35,36.0,3,0,SYNTHETIC
34.35,44.0,4,0,SYNTHETIC
34.35,32.0,5,0,SYNTHETIC
34.35,155.0,6,1,SYNTHETIC
34.35,43.0,7,0,SYNTHETIC
34.35,48.0,8,0,SYNTHETIC
34.35,40.0,9,0,SYNTHETIC
34.35,32.0,10,0,SYNTHETIC
34.35,53.0,11,0,SYNTHETIC
34.35,39.0,12,0,SYNTHETIC
34.35,25.0,13,0,SYNTHETIC
34.35,22.0,14,0,SYNTHETIC
34.35,40.0,15,0,SYNTHETIC
34.35,33.0,16,0,SYNTHETIC
34.35,45.0,17,0,SYNTHETIC
34.35,35.0,18,0,SYNTHETIC
34.35,30.0,19,0,SYNTHETIC
34.35,40.0,20,0,SYNTHETIC
34.35,18.0,21,0,SYNTHETIC
34.35,38.0,22,0,SYNTHETIC
34.35,38.0,23,0,SYNTHETIC
13.92,11.0,0,0,SYNTHETIC
13.92,10.0,1,0,SYNTHETIC
13.92,11.0,2,0,SYNTHETIC
13.92,12.0,3,0,SYNTHETIC
13.92,16.0,4,0,SYNTHETIC
13.92,6.0,5,0,SYNTHETIC
13.92,50.0,6,1,SYNTHETIC
13.92,18.0,7,0,SYNTHETIC
13.92,47.0,8,1,SYNTHETIC
13.92,13.0,9,0,SYNTHETIC
13.92,18.0,10,0,SYNTHETIC
13.92,22.0,11,0,SYNTHETIC
13.92,15.0,12,0,SYNTHETIC
13.92,15.0,13,0,SYNTHETIC
13.92,15.0,14,0,SYNTHETIC
13.92,17.0,15,0,SYNTHETIC
13.92,12.0,16,0,SYNTHETIC
13.92,14.0,17,0,SYNTHETIC
13.92,15.0,18,0,SYNTHETIC
13.92,14.0,19,0,SYNTHETIC
13.92,11.0,20,0,SYNTHETIC
13.92,13.0,21,0,SYNTHETIC
13.92,18.0,22,0,SYNTHETIC
13.92,12.0,23,0,SYNTHETIC
20.76,25.0,0,0,SYNTHETIC
20.76,21.0,1,0,SYNTHETIC
20.76,24.0,2,0,SYNTHETIC
20.76,24.0,3,0,SYNTHETIC
20.76,19.0,4,0,SYNTHETIC
20.76,23.0,5,0,SYNTHETIC
20.76,16.0,6,0,SYNTHETIC
20.76,20.0,7,0,SYNTHETIC
20.76,12.0,8,0,SYNTHETIC
20.76,19.0,9,0,SYNTHETIC
20.76,25.0,10,0,SYNTHETIC
20.76,14.0,11,0,SYNTHETIC
20.76,14.0,12,0,SYNTHETIC
20.76,21.0,13,0,SYNTHETIC
20.76,21.0,14,0,SYNTHETIC
20.76,15.0,15,0,SYNTHETIC
20.76,33.0,16,0,SYNTHETIC
20.76,19.0,17,0,SYNTHETIC
20.76,22.0,18,0,SYNTHETIC
20.76,25.0,19,0,SYNTHETIC
20.76,15.0,20,0,SYNTHETIC
20.76,17.0,21,0,SYNTHETIC
20.76,12.0,22,0,SYNTHETIC
20.76,24.0,23,0,SYNTHETIC
38.3,20.0,0,0,SYNTHETIC
38.3,12.0,1,0,SYNTHETIC
38.3,17.0,2,0,SYNTHETIC
38.3,37.0,3,0,SYNTHETIC
38.3,180.0,4,1,SYNTHETIC
38.3,44.0,5,0,SYNTHETIC
38.3,31.0,6,0,SYNTHETIC
38.3,36.0,7,0,SYNTHETIC
38.3,27.0,8,0,SYNTHETIC
38.3,38.0,9,0,SYNTHETIC
38.3,44.0,10,0,SYNTHETIC
38.3,41.0,11,0,SYNTHETIC
38.3,32.0,12,0,SYNTHETIC
38.3,31.0,13,0,SYNTHETIC
38.3,34.0,14,0,SYNTHETIC
38.3,30.0,15,0,SYNTHETIC
38.3,30.0,16,0,SYNTHETIC
38.3,38.0,17,0,SYNTHETIC
38.3,37.0,18,0,SYNTHETIC
38.3,34.0,19,0,SYNTHETIC
38.3,39.0,20,0,SYNTHETIC
38.3,40.0,21,0,SYNTHETIC
38.3,152.0,22,1,SYNTHETIC
38.3,32.0,23,0,SYNTHETIC
18.59,21.0,0,0,SYNTHETIC
18.59,24.0,1,0,SYNTHETIC
18.59,27.0,2,0,SYNTHETIC
18.59,18.0,3,0,SYNTHETIC
18.59,24.0,4,0,SYNTHETIC
18.59,49.0,5,1,SYNTHETIC
18.59,11.0,6,0,SYNTHETIC
18.59,20.0,7,0,SYNTHETIC
18.59,17.0,8,0,SYNTHETIC
18.59,16.0,9,0,SYNTHETIC
18.59,17.0,10,0,SYNTHETIC
18.59,30.0,11,0,SYNTHETIC
18.59,13.0,12,0,SYNTHETIC
18.59,14.0,13,0,SYNTHETIC
18.59,26.0,14,0,SYNTHETIC
18.59,20.0,15,0,SYNTHETIC
18.59,15.0,16,0,SYNTHETIC
18.59,13.0,17,0,SYNTHETIC
18.59,26.0,18,0,SYNTHETIC
18.59,25.0,19,0,SYNTHETIC
18.59,17.0,20,0,SYNTHETIC
18.59,17.0,21,0,SYNTHETIC
18.59,87.0,22,1,SYNTHETIC
18.59,15.0,23,0,SYNTHETIC
23.99,25.0,0,0,SYNTHETIC
23.99,17.0,1,0,SYNTHETIC
23.99,17.0,2,0,SYNTHETIC
23.99,20.0,3,0,SYNTHETIC
23.99,12.0,4,0,SYNTHETIC
23.99,30.0,5,0,SYNTHETIC
23.99,19.0,6,0,SYNTHETIC
23.99,30.0,7,0,SYNTHETIC
23.99,23.0,8,0,SYNTHETIC
23.99,22.0,9,0,SYNTHETIC
23.99,30.0,10,0,SYNTHETIC
23.99,21.0,11,0,SYNTHETIC
23.99,36.0,12,0,SYNTHETIC
23.99,19.0,13,0,SYNTHETIC
23.99,21.0,14,0,SYNTHETIC
23.99,25.0,15,0,SYNTHETIC
23.99,18.0,16,0,SYNTHETIC
23.99,24.0,17,0,SYNTHETIC
23.99,20.0,18,0,SYNTHETIC
23.99,27.0,19,0,SYNTHETIC
23.99,34.0,20,0,SYNTHETIC
23.99,29.0,21,0,SYNTHETIC
23.99,18.0,22,0,SYNTHETIC
23.99,27.0,23,0,SYNTHETIC
29.86,30.0,0,0,SYNTHETIC
29.86,34.0,1,0,SYNTHETIC
29.86,20.0,2,0,SYNTHETIC
29.86,40.0,3,0,SYNTHETIC
29.86,38.0,4,0,SYNTHETIC
29.86,40.0,5,0,SYNTHETIC
29.86,26.0,6,0,SYNTHETIC
29.86,27.0,7,0,SYNTHETIC
29.86,34.0,8,0,SYNTHETIC
29.86,22.0,9,0,SYNTHETIC
29.86,23.0,10,0,SYNTHETIC
29.86,37.0,11,0,SYNTHETIC
29.86,13.0,12,0,SYNTHETIC
29.86,28.0,13,0,SYNTHETIC
29.86,89.0,14,1,SYNTHETIC
29.86,31.0,15,0,SYNTHETIC
29.86,21.0,16,0,SYNTHETIC
29.86,30.0,17,0,SYNTHETIC
29.86,14.0,18,0,SYNTHETIC
29.86,33.0,19,0,SYNTHETIC
29.86,35.0,20,0,SYNTHETIC
29.86,27.0,21,0,SYNTHETIC
29.86,20.0,22,0,SYNTHETIC
29.86,37.0,23,0,SYNTHETIC
21.4,17.0,0,0,SYNTHETIC
21.4,21.0,1,0,SYNTHETIC
21.4,22.0,2,0,SYNTHETIC
21.4,25.0,3,0,SYNTHETIC
21.4,29.0,4,0,SYNTHETIC
21.4,18.0,5,0,SYNTHETIC
21.4,23.0,6,0,SYNTHETIC
21.4,28.0,7,0,SYNTHETIC
21.4,21.0,8,0,SYNTHETIC
21.4,28.0,9,0,SYNTHETIC
21.4,17.0,10,0,SYNTHETIC
21.4,23.0,11,0,SYNTHETIC
21.4,24.0,12,0,SYNTHETIC
21.4,22.0,13,0,SYNTHETIC
21.4,20.0,14,0,SYNTHETIC
21.4,23.0,15,0,SYNTHETIC
21.4,22.0,16,0,SYNTHETIC
21.4,18.0,17,0,SYNTHETIC
21.4,19.0,18,0,SYNTHETIC
21.4,14.0,19,0,SYNTHETIC
21.4,23.0,20,0,SYNTHETIC
21.4,24.0,21,0,SYNTHETIC
21.4,20.0,22,0,SYNTHETIC
21.4,14.0,23,0,SYNTHETIC
10.13,10.0,0,0,SYNTHETIC
10.13,10.0,1,0,SYNTHETIC
10.13,10.0,2,0,SYNTHETIC
10.13,28.0,3,1,SYNTHETIC
10.13,12.0,4,0,SYNTHETIC
10.13,10.0,5,0,SYNTHETIC
10.13,10.0,6,0,SYNTHETIC
10.13,37.0,7,1,SYNTHETIC
10.13,43.0,8,1,SYNTHETIC
10.13,29.0,9,1,SYNTHETIC
10.13,12.0,10,0,SYNTHETIC
10.13,12.0,11,0,SYNTHETIC
10.13,8.0,12,0,SYNTHETIC
10.13,11.0,13,0,SYNTHETIC
10.13,11.0,14,0,SYNTHETIC
10.13,13.0,15,0,SYNTHETIC
10.13,13.0,16,0,SYNTHETIC
10.13,11.0,17,0,SYNTHETIC
10.13,9.0,18,0,SYNTHETIC
10.13,11.0,19,0,SYNTHETIC
10.13,12.0,20,0,SYNTHETIC
10.13,8.0,21,0,SYNTHETIC
10.13,7.0,22,0,SYNTHETIC
10.13,10.0,23,0,SYNTHETIC
36.84,33.0,0,0,SYNTHETIC
36.84,30.0,1,0,SYNTHETIC
36.84,25.0,2,0,SYNTHETIC
36.84,47.0,3,0,SYNTHETIC
36.84,35.0,4,0,SYNTHETIC
36.84,28.0,5,0,SYNTHETIC
36.84,26.0,6,0,SYNTHETIC
36.84,40.0,7,0,SYNTHETIC
36.84,38.0,8,0,SYNTHETIC
36.84,48.0,9,0,SYNTHETIC
36.84,32.0,10,0,SYNTHETIC
36.84,53.0,11,0,SYNTHETIC
36.84,34.0,12,0,SYNTHETIC
36.84,17.0,13,0,SYNTHETIC
36.84,30.0,14,0,SYNTHETIC
36.84,54.0,15,0,SYNTHETIC
36.84,42.0,16,0,SYNTHETIC
36.84,127.0,17,1,SYNTHETIC
36.84,33.0,18,0,SYNTHETIC
36.84,41.0,19,0,SYNTHETIC
36.84,43.0,20,0,SYNTHETIC
36.84,45.0,21,0,SYNTHETIC
36.84,23.0,22,0,SYNTHETIC
36.84,33.0,23,0,SYNTHETIC
30.67,18.0,0,0,SYNTHETIC
30.67,34.0,1,0,SYNTHETIC
30.67,30.0,2,0,SYNTHETIC
30.67,18.0,3,0,SYNTHETIC
30.67,15.0,4,0,SYNTHETIC
30.67,34.0,5,0,SYNTHETIC
30.67,26.0,6,0,SYNTHETIC
30.67,30.0,7,0,SYNTHETIC
30.67,14.0,8,0,SYNTHETIC
30.67,29.0,9,0,SYNTHETIC
30.67,81.0,10,1,SYNTHETIC
30.67,24.0,11,0,SYNTHETIC
30.67,41.0,12,0,SYNTHETIC
30.67,32.0,13,0,SYNTHETIC
30.67,28.0,14,0,SYNTHETIC
30.67,21.0,15,0,SYNTHETIC
30.67,24.0,16,0,SYNTHETIC
30.67,116.0,17,1,SYNTHETIC
30.67,29.0,18,0,SYNTHETIC
30.67,24.0,19,0,SYNTHETIC
30.67,28.0,20,0,SYNTHETIC
30.67,36.0,21,0,SYNTHETIC
30.67,29.0,22,0,SYNTHETIC
30.67,38.0,23,0,SYNTHETIC
30.29,32.0,0,0,SYNTHETIC
30.29,42.0,1,0,SYNTHETIC
30.29,24.0,2,0,SYNTHETIC
30.29,34.0,3,0,SYNTHETIC
30.29,28.0,4,0,SYNTHETIC
30.29,22.0,5,0,SYNTHETIC
30.29,42.0,6,0,SYNTHETIC
30.29,47.0,7,0,SYNTHETIC
30.29,17.0,8,0,SYNTHETIC
30.29,34.0,9,0,SYNTHETIC
30.29,32.0,10,0,SYNTHETIC
30.29,25.0,11,0,SYNTHETIC
30.29,28.0,12,0,SYNTHETIC
30.29,24.0,13,0,SYNTHETIC
30.29,42.0,14,0,SYNTHETIC
30.29,33.0,15,0,SYNTHETIC
30.29,32.0,16,0,SYNTHETIC
30.29,19.0,17,0,SYNTHETIC
30.29,131.0,18,1,SYNTHETIC
30.29,30.0,19,0,SYNTHETIC
30.29,29.0,20,0,SYNTHETIC
30.29,27.0,21,0,SYNTHETIC
30.29,39.0,22,0,SYNTHETIC
30.29,14.0,23,0,SYNTHETIC
11.08,10.0,0,0,SYNTHETIC
11.08,10.0,1,0,SYNTHETIC
11.08,15.0,2,0,SYNTHETIC
11.08,17.0,3,0,SYNTHETIC
11.08,10.0,4,0,SYNTHETIC
11.08,10.0,5,0,SYNTHETIC
11.08,11.0,6,0,SYNTHETIC
11.08,12.0,7,0,SYNTHETIC
11.08,12.0,8,0,SYNTHETIC
11.08,14.0,9,0,SYNTHETIC
11.08,32.0,10,1,SYNTHETIC
11.08,54.0,11,1,SYNTHETIC
11.08,8.0,12,0,SYNTHETIC
11.08,10.0,13,0,SYNTHETIC
11.08,13.0,14,0,SYNTHETIC
11.08,15.0,15,0,SYNTHETIC
11.08,14.0,16,0,SYNTHETIC
11.08,18.0,17,0,SYNTHETIC
11.08,11.0,18,0,SYNTHETIC
11.08,15.0,19,0,SYNTHETIC
11.08,14.0,20,0,SYNTHETIC
11.08,45.0,21,1,SYNTHETIC
11.08,11.0,22,0,SYNTHETIC
11.08,12.0,23,0,SYNTHETIC
25.41,24.0,0,0,SYNTHETIC
25.41,28.0,1,0,SYNTHETIC
25.41,30.0,2,0,SYNTHETIC
25.41,38.0,3,0,SYNTHETIC
25.41,18.0,4,0,SYNTHETIC
25.41,19.0,5,0,SYNTHETIC
25.41,38.0,6,0,SYNTHETIC
25.41,13.0,7,0,SYNTHETIC
25.41,22.0,8,0,SYNTHETIC
25.41,22.0,9,0,SYNTHETIC
25.41,23.0,10,0,SYNTHETIC
25.41,34.0,11,0,SYNTHETIC
25.41,29.0,12,0,SYNTHETIC
25.41,23.0,13,0,SYNTHETIC
25.41,18.0,14,0,SYNTHETIC
25.41,27.0,15,0,SYNTHETIC
25.41,23.0,16,0,SYNTHETIC
25.41,19.0,17,0,SYNTHETIC
25.41,25.0,18,0,SYNTHETIC
25.41,18.0,19,0,SYNTHETIC
25.41,26.0,20,0,SYNTHETIC
25.41,27.0,21,0,SYNTHETIC
25.41,20.0,22,0,SYNTHETIC
25.41,26.0,23,0,SYNTHETIC
23.08,24.0,0,0,SYNTHETIC
23.08,27.0,1,0,SYNTHETIC
23.08,19.0,2,0,SYNTHETIC
23.08,20.0,3,0,SYNTHETIC
23.08,30.0,4,0,SYNTHETIC
23.08,24.0,5,0,SYNTHETIC
23.08,20.0,6,0,SYNTHETIC
23.08,25.0,7,0,SYNTHETIC
23.08,25.0,8,0,SYNTHETIC
23.08,15.0,9,0,SYNTHETIC
23.08,13.0,10,0,SYNTHETIC
23.08,34.0,11,0,SYNTHETIC
23.08,114.0,12,1,SYNTHETIC
23.08,87.0,13,1,SYNTHETIC
23.08,24.0,14,0,SYNTHETIC
23.08,31.0,15,0,SYNTHETIC
23.08,22.0,16,0,SYNTHETIC
23.08,23.0,17,0,SYNTHETIC
23.08,20.0,18,0,SYNTHETIC
23.08,16.0,19,0,SYNTHETIC
23.08,30.0,20,0,SYNTHETIC
23.08,22.0,21,0,SYNTHETIC
23.08,30.0,22,0,SYNTHETIC
23.08,23.0,23,0,SYNTHETIC
27.06,28.0,0,0,SYNTHETIC
27.06,36.0,1,0,SYNTHETIC
27.06,120.0,2,1,SYNTHETIC
27.06,29.0,3,0,SYNTHETIC
27.06,24.0,4,0,SYNTHETIC
27.06,18.0,5,0,SYNTHETIC
27.06,21.0,6,0,SYNTHETIC
27.06,30.0,7,0,SYNTHETIC
27.06,10.0,8,0,SYNTHETIC
27.06,26.0,9,0,SYNTHETIC
27.06,22.0,10,0,SYNTHETIC
27.06,32.0,11,0,SYNTHETIC
27.06,35.0,12,0,SYNTHETIC
27.06,30.0,13,0,SYNTHETIC
27.06,29.0,14,0,SYNTHETIC
27.06,22.0,15,0,SYNTHETIC
27.06,38.0,16,0,SYNTHETIC
27.06,23.0,17,0,SYNTHETIC
27.06,27.0,18,0,SYNTHETIC
27.06,18.0,19,0,SYNTHETIC
27.06,25.0,20,0,SYNTHETIC
27.06,21.0,21,0,SYNTHETIC
27.06,25.0,22,0,SYNTHETIC
27.06,21.0,23,0,SYNTHETIC
33.2,28.0,0,0,SYNTHETIC
33.2,33.0,1,0,SYNTHETIC
33.2,28.0,2,0,SYNTHETIC
33.2,20.0,3,0,SYNTHETIC
33.2,32.0,4,0,SYNTHETIC
33.2,31.0,5,0,SYNTHETIC
33.2,34.0,6,0,SYNTHETIC
33.2,24.0,7,0,SYNTHETIC
33.2,28.0,8,0,SYNTHETIC
33.2,30.0,9,0,SYNTHETIC
33.2,36.0,10,0,SYNTHETIC
33.2,27.0,11,0,SYNTHETIC
33.2,37.0,12,0,SYNTHETIC
33.2,32.0,13,0,SYNTHETIC
33.2,24.0,14,0,SYNTHETIC
33.2,30.0,15,0,SYNTHETIC
33.2,20.0,16,0,SYNTHETIC
33.2,28.0,17,0,SYNTHETIC
33.2,34.0,18,0,SYNTHETIC
33.2,38.0,19,0,SYNTHETIC
33.2,19.0,20,0,SYNTHETIC
33.2,29.0,21,0,SYNTHETIC
33.2,40.0,22,0,SYNTHETIC
33.2,12.0,23,0,SYNTHETIC
35.41,31.0,0,0,SYNTHETIC
35.41,51.0,1,0,SYNTHETIC
35.41,36.0,2,0,SYNTHETIC
35.41,30.0,3,0,SYNTHETIC
35.41,44.0,4,0,SYNTHETIC
35.41,45.0,5,0,SYNTHETIC
35.41,41.0,6,0,SYNTHETIC
35.41,31.0,7,0,SYNTHETIC
35.41,33.0,8,0,SYNTHETIC
35.41,44.0,9,0,SYNTHETIC
35.41,55.0,10,0,SYNTHETIC
35.41,30.0,11,0,SYNTHETIC
35.41,37.0,12,0,SYNTHETIC
35.41,37.0,13,0,SYNTHETIC
35.41,49.0,14,0,SYNTHETIC
35.41,33.0,15,0,SYNTHETIC
35.41,29.0,16,0,SYNTHETIC
35.41,31.0,17,0,SYNTHETIC
35.41,43.0,18,0,SYNTHETIC
35.41,34.0,19,0,SYNTHETIC
35.41,27.0,20,0,SYNTHETIC
35.41,13.0,21,0,SYNTHETIC
35.41,39.0,22,0,SYNTHETIC
35.41,41.0,23,0,SYNTHETIC
19.1,22.0,0,0,SYNTHETIC
19.1,16.0,1,0,SYNTHETIC
19.1,20.0,2,0,SYNTHETIC
19.1,21.0,3,0,SYNTHETIC
19.1,17.0,4,0,SYNTHETIC
19.1,35.0,5,0,SYNTHETIC
19.1,17.0,6,0,SYNTHETIC
19.1,17.0,7,0,SYNTHETIC
19.1,87.0,8,1,SYNTHETIC
19.1,17.0,9,0,SYNTHETIC
19.1,77.0,10,1,SYNTHETIC
19.1,17.0,11,0,SYNTHETIC
19.1,26.0,12,0,SYNTHETIC
19.1,26.0,13,0,SYNTHETIC
19.1,13.0,14,0,SYNTHETIC
19.1,23.0,15,0,SYNTHETIC
19.1,22.0,16,0,SYNTHETIC
19.1,29.0,17,0,SYNTHETIC
19.1,29.0,18,0,SYNTHETIC
19.1,21.0,19,0,SYNTHETIC
19.1,21.0,20,0,SYNTHETIC
19.1,17.0,21,0,SYNTHETIC
19.1,24.0,22,0,SYNTHETIC
19.1,25.0,23,0,SYNTHETIC
12.18,12.0,0,0,SYNTHETIC
12.18,10.0,1,0,SYNTHETIC
12.18,9.0,2,0,SYNTHETIC
12.18,12.0,3,0,SYNTHETIC
12.18,7.0,4,0,SYNTHETIC
12.18,9.0,5,0,SYNTHETIC
12.18,12.0,6,0,SYNTHETIC
12.18,10.0,7,0,SYNTHETIC
12.18,12.0,8,0,SYNTHETIC
12.18,11.0,9,0,SYNTHETIC
12.18,12.0,10,0,SYNTHETIC
12.18,16.0,11,0,SYNTHETIC
12.18,11.0,12,0,SYNTHETIC
12.18,13.0,13,0,SYNTHETIC
12.18,15.0,14,0,SYNTHETIC
12.18,13.0,15,0,SYNTHETIC
12.18,12.0,16,0,SYNTHETIC
12.18,12.0,17,0,SYNTHETIC
12.18,10.0,18,0,SYNTHETIC
12.18,14.0,19,0,SYNTHETIC
12.18,12.0,20,0,SYNTHETIC
12.18,11.0,21,0,SYNTHETIC
12.18,11.0,22,0,SYNTHETIC
12.18,15.0,23,0,SYNTHETIC
19.88,58.0,0,1,SYNTHETIC
19.88,17.0,1,0,SYNTHETIC
19.88,21.0,2,0,SYNTHETIC
19.88,15.0,3,0,SYNTHETIC
19.88,18.0,4,0,SYNTHETIC
19.88,27.0,5,0,SYNTHETIC
19.88,8.0,6,0,SYNTHETIC
19.88,31.0,7,0,SYNTHETIC
19.88,16.0,8,0,SYNTHETIC
19.88,22.0,9,0,SYNTHETIC
19.88,22.0,10,0,SYNTHETIC
19.88,19.0,11,0,SYNTHETIC
19.88,19.0,12,0,SYNTHETIC
19.88,24.0,13,0,SYNTHETIC
19.88,21.0,14,0,SYNTHETIC
19.88,19.0,15,0,SYNTHETIC
19.88,23.0,16,0,SYNTHETIC
19.88,17.0,17,0,SYNTHETIC
19.88,18.0,18,0,SYNTHETIC
19.88,14.0,19,0,SYNTHETIC
19.88,16.0,20,0,SYNTHETIC
19.88,20.0,21,0,SYNTHETIC
19.88,73.0,22,1,SYNTHETIC
19.88,98.0,23,1,SYNTHETIC
38.23,18.0,0,0,SYNTHETIC
38.23,22.0,1,0,SYNTHETIC
38.23,178.0,2,1,SYNTHETIC
38.23,46.0,3,0,SYNTHETIC
38.23,41.0,4,0,SYNTHETIC
38.23,126.0,5,1,SYNTHETIC
38.23,48.0,6,0,SYNTHETIC
38.23,33.0,7,0,SYNTHETIC
38.23,33.0,8,0,SYNTHETIC
38.23,37.0,9,0,SYNTHETIC
38.23,28.0,10,0,SYNTHETIC
38.23,32.0,11,0,SYNTHETIC
38.23,59.0,12,0,SYNTHETIC
38.23,46.0,13,0,SYNTHETIC
38.23,42.0,14,0,SYNTHETIC
38.23,48.0,15,0,SYNTHETIC
38.23,32.0,16,0,SYNTHETIC
38.23,50.0,17,0,SYNTHETIC
38.23,41.0,18,0,SYNTHETIC
38.23,39.0,19,0,SYNTHETIC
38.23,41.0,20,0,SYNTHETIC
38.23,185.0,21,1,SYNTHETIC
38.23,20.0,22,0,SYNTHETIC
38.23,32.0,23,0,SYNTHETIC
29.44,35.0,0,0,SYNTHETIC
29.44,26.0,1,0,SYNTHETIC
29.44,36.0,2,0,SYNTHETIC
29.44,41.0,3,0,SYNTHETIC
29.44,40.0,4,0,SYNTHETIC
29.44,35.0,5,0,SYNTHETIC
29.44,40.0,6,0,SYNTHETIC
29.44,22.0,7,0,SYNTHETIC
29.44,20.0,8,0,SYNTHETIC
29.44,22.0,9,0,SYNTHETIC
29.44,33.0,10,0,SYNTHETIC
29.44,26.0,11,0,SYNTHETIC
29.44,42.0,12,0,SYNTHETIC
29.44,42.0,13,0,SYNTHETIC
29.44,22.0,14,0,SYNTHETIC
29.44,21.0,15,0,SYNTHETIC
